currency,year,value
aud,1999,1.5501
aud,2000,1.72429
aud,2001,1.932675
aud,2002,1.840445
aud,2003,1.541235
aud,2004,1.35941
aud,2005,1.311935
aud,2006,1.328125
aud,2007,1.19507
aud,2008,1.19657
aud,2009,1.28084
aud,2010,1.090255
aud,2011,0.968905
aud,2012,0.965985
aud,2013,1.03646
aud,2014,1.10966
aud,2015,1.345
aud,2016,1.4
aud,2017,1.358
aud,2018,1.34
aud,2019,1.439
aud,2020,1.452
usd,1999,1
usd,2000,1
usd,2001,1
usd,2002,1
usd,2003,1
usd,2004,1
usd,2005,1
usd,2006,1
usd,2007,1
usd,2008,1
usd,2009,1
usd,2010,1
usd,2011,1
usd,2012,1
usd,2013,1
usd,2014,1
usd,2015,1
usd,2016,1
usd,2017,1
usd,2018,1
usd,2019,1
usd,2020,1
