name,source,notes,construction_time,lifetime,book_life,cycle_life,currency,currency_year,cost_type,lifecycle,unit,time_unit,geography,gau,geography_map_key,interpolation_method,extrapolation_method,extrapolation_growth_rate,cost_of_capital,levelized,vintage,value,sensitivity
large-scale solar pv|1,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2021,1560.685,2022 ISP [d]
large-scale solar pv|2,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2021,1560.685,2022 ISP [d]
large-scale solar pv|3,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2021,1560.685,2022 ISP [d]
large-scale solar pv|4,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2021,1560.685,2022 ISP [d]
large-scale solar pv|5,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2021,1560.685,2022 ISP [d]
large-scale solar pv|1,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2025,1200.846,2022 ISP [d]
large-scale solar pv|2,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2025,1200.846,2022 ISP [d]
large-scale solar pv|3,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2025,1200.846,2022 ISP [d]
large-scale solar pv|4,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2025,1200.846,2022 ISP [d]
large-scale solar pv|5,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2025,1200.846,2022 ISP [d]
large-scale solar pv|1,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2030,998.631,2022 ISP [d]
large-scale solar pv|2,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2030,998.631,2022 ISP [d]
large-scale solar pv|3,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2030,998.631,2022 ISP [d]
large-scale solar pv|4,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2030,998.631,2022 ISP [d]
large-scale solar pv|5,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2030,998.631,2022 ISP [d]
large-scale solar pv|1,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2035,897.005,2022 ISP [d]
large-scale solar pv|2,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2035,897.005,2022 ISP [d]
large-scale solar pv|3,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2035,897.005,2022 ISP [d]
large-scale solar pv|4,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2035,897.005,2022 ISP [d]
large-scale solar pv|5,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2035,897.005,2022 ISP [d]
large-scale solar pv|1,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2040,820.267,2022 ISP [d]
large-scale solar pv|2,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2040,820.267,2022 ISP [d]
large-scale solar pv|3,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2040,820.267,2022 ISP [d]
large-scale solar pv|4,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2040,820.267,2022 ISP [d]
large-scale solar pv|5,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2040,820.267,2022 ISP [d]
large-scale solar pv|1,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2045,721.752,2022 ISP [d]
large-scale solar pv|2,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2045,721.752,2022 ISP [d]
large-scale solar pv|3,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2045,721.752,2022 ISP [d]
large-scale solar pv|4,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2045,721.752,2022 ISP [d]
large-scale solar pv|5,AEMO ISP 2022,,1,30,30,,aud,2020,capacity,new,kilowatt,,global,all,,previous_period_mean,nearest,,0.051,FALSE,2045,721.752,2022 ISP [d]
