"run.name","year","tech","zone","unit","tech..outputs_group_aggregate","tech..outputs_group_detailed","tech..type","value"
"eplus",2025,"large-scale solar pv|1","nsw-outback","gigawatt","solar","large-scale solar pv","fixed",4.922e-05
"eplus",2025,"large-scale solar pv|1","nt","gigawatt","solar","large-scale solar pv","fixed",0.0025149
"eplus",2025,"large-scale solar pv|1","qld-north","gigawatt","solar","large-scale solar pv","fixed",0.00160719
"eplus",2025,"large-scale solar pv|1","qld-outback","gigawatt","solar","large-scale solar pv","fixed",0.00089685
"eplus",2025,"large-scale solar pv|1","qld-south","gigawatt","solar","large-scale solar pv","fixed",1.78140891
"eplus",2025,"large-scale solar pv|1","wa-central","gigawatt","solar","large-scale solar pv","fixed",0.00076235
"eplus",2025,"large-scale solar pv|1","wa-north","gigawatt","solar","large-scale solar pv","fixed",0.00058175
"eplus",2025,"large-scale solar pv|1","wa-south","gigawatt","solar","large-scale solar pv","fixed",1.67891034
"eplus",2025,"large-scale solar pv|2","nsw-central","gigawatt","solar","large-scale solar pv","fixed",1.02655786
"eplus",2025,"large-scale solar pv|2","nsw-north","gigawatt","solar","large-scale solar pv","fixed",0.19289502
"eplus",2025,"large-scale solar pv|2","nsw-outback","gigawatt","solar","large-scale solar pv","fixed",4.978e-05
"eplus",2025,"large-scale solar pv|2","nt","gigawatt","solar","large-scale solar pv","fixed",0.47463041
"eplus",2025,"large-scale solar pv|2","qld-north","gigawatt","solar","large-scale solar pv","fixed",3.15627924
"eplus",2025,"large-scale solar pv|2","qld-outback","gigawatt","solar","large-scale solar pv","fixed",0.11932774
"eplus",2025,"large-scale solar pv|2","qld-south","gigawatt","solar","large-scale solar pv","fixed",0.93836925
"eplus",2025,"large-scale solar pv|2","sa","gigawatt","solar","large-scale solar pv","fixed",0.00015745
"eplus",2025,"large-scale solar pv|2","vic-west","gigawatt","solar","large-scale solar pv","fixed",0.33234546
"eplus",2025,"large-scale solar pv|2","wa-central","gigawatt","solar","large-scale solar pv","fixed",0.03559395
"eplus",2025,"large-scale solar pv|2","wa-north","gigawatt","solar","large-scale solar pv","fixed",0.20895159
"eplus",2025,"large-scale solar pv|2","wa-south","gigawatt","solar","large-scale solar pv","fixed",1.32556271
"eplus",2025,"large-scale solar pv|3","nsw-central","gigawatt","solar","large-scale solar pv","fixed",4.81534634
"eplus",2025,"large-scale solar pv|3","nsw-north","gigawatt","solar","large-scale solar pv","fixed",0.00048609
"eplus",2025,"large-scale solar pv|3","nsw-outback","gigawatt","solar","large-scale solar pv","fixed",4.789e-05
"eplus",2025,"large-scale solar pv|3","nsw-south","gigawatt","solar","large-scale solar pv","fixed",0.00027405
"eplus",2025,"large-scale solar pv|3","qld-north","gigawatt","solar","large-scale solar pv","fixed",0.00027826
