class,type,scenario,vintage,value
10,solar,Advanced,2019,0.192652708
10,solar,Advanced,2020,0.19615154
10,solar,Advanced,2021,0.199650372
10,solar,Advanced,2022,0.203149203
10,solar,Advanced,2023,0.206648035
10,solar,Advanced,2024,0.210146867
10,solar,Advanced,2025,0.213645698
10,solar,Advanced,2026,0.21714453
10,solar,Advanced,2027,0.220643361
10,solar,Advanced,2028,0.224142193
10,solar,Advanced,2029,0.227641025
10,solar,Advanced,2030,0.231139856
10,solar,Advanced,2031,0.231642334
10,solar,Advanced,2032,0.232144812
10,solar,Advanced,2033,0.23264729
10,solar,Advanced,2034,0.233149768
10,solar,Advanced,2035,0.233652246
10,solar,Advanced,2036,0.234154724
10,solar,Advanced,2037,0.234657202
10,solar,Advanced,2038,0.23515968
10,solar,Advanced,2039,0.235662158
10,solar,Advanced,2040,0.236164636
10,solar,Advanced,2041,0.236667114
10,solar,Advanced,2042,0.237169592
10,solar,Advanced,2043,0.23767207
10,solar,Advanced,2044,0.238174547
10,solar,Advanced,2045,0.238677025
10,solar,Advanced,2046,0.239179503
10,solar,Advanced,2047,0.239681981
10,solar,Advanced,2048,0.240184459
10,solar,Advanced,2049,0.240686937
10,solar,Advanced,2050,0.241189415
10,solar,Moderate,2019,0.192652708
10,solar,Moderate,2020,0.19473197
10,solar,Moderate,2021,0.196811232
10,solar,Moderate,2022,0.198890493
10,solar,Moderate,2023,0.200969755
10,solar,Moderate,2024,0.203049017
10,solar,Moderate,2025,0.205128278
10,solar,Moderate,2026,0.20720754
10,solar,Moderate,2027,0.209286802
10,solar,Moderate,2028,0.211366063
10,solar,Moderate,2029,0.213445325
10,solar,Moderate,2030,0.215524586
10,solar,Moderate,2031,0.21630535
10,solar,Moderate,2032,0.217086113
10,solar,Moderate,2033,0.217866877
10,solar,Moderate,2034,0.21864764
10,solar,Moderate,2035,0.219428404
10,solar,Moderate,2036,0.220209167
10,solar,Moderate,2037,0.220989931
10,solar,Moderate,2038,0.221770694
10,solar,Moderate,2039,0.222551458
10,solar,Moderate,2040,0.223332221
10,solar,Moderate,2041,0.224112985
10,solar,Moderate,2042,0.224893748
10,solar,Moderate,2043,0.225674512
10,solar,Moderate,2044,0.226455275
10,solar,Moderate,2045,0.227236039
10,solar,Moderate,2046,0.228016802
10,solar,Moderate,2047,0.228797566
10,solar,Moderate,2048,0.229578329
10,solar,Moderate,2049,0.230359093
10,solar,Moderate,2050,0.231139856
10,solar,Conservative,2019,0.192652708
10,solar,Conservative,2020,0.192652708
10,solar,Conservative,2021,0.192652708
10,solar,Conservative,2022,0.192652708
10,solar,Conservative,2023,0.192652708
10,solar,Conservative,2024,0.192652708
10,solar,Conservative,2025,0.192652708
10,solar,Conservative,2026,0.192652708
10,solar,Conservative,2027,0.192652708
10,solar,Conservative,2028,0.192652708
10,solar,Conservative,2029,0.192652708
10,solar,Conservative,2030,0.192652708
10,solar,Conservative,2031,0.193796302
10,solar,Conservative,2032,0.194939896
10,solar,Conservative,2033,0.19608349
10,solar,Conservative,2034,0.197227084
10,solar,Conservative,2035,0.198370678
10,solar,Conservative,2036,0.199514272
10,solar,Conservative,2037,0.200657866
10,solar,Conservative,2038,0.20180146
10,solar,Conservative,2039,0.202945054
