class,type,scenario,depth,vintage,value
1,offshore,Advanced,-22.95537928,2019,2590.042811
1,offshore,Advanced,-22.95537928,2020,2383.535727
1,offshore,Advanced,-22.95537928,2021,2229.869186
1,offshore,Advanced,-22.95537928,2022,2105.15631
1,offshore,Advanced,-22.95537928,2023,1998.757245
1,offshore,Advanced,-22.95537928,2024,1904.996371
1,offshore,Advanced,-22.95537928,2025,1820.485847
1,offshore,Advanced,-22.95537928,2026,1743.040447
1,offshore,Advanced,-22.95537928,2027,1671.168114
1,offshore,Advanced,-22.95537928,2028,1603.804623
1,offshore,Advanced,-22.95537928,2029,1540.164192
1,offshore,Advanced,-22.95537928,2030,1479.650088
1,offshore,Advanced,-22.95537928,2031,1446.403318
1,offshore,Advanced,-22.95537928,2032,1415.451315
1,offshore,Advanced,-22.95537928,2033,1386.497651
1,offshore,Advanced,-22.95537928,2034,1359.299864
1,offshore,Advanced,-22.95537928,2035,1333.657108
1,offshore,Advanced,-22.95537928,2036,1309.401142
1,offshore,Advanced,-22.95537928,2037,1286.389632
1,offshore,Advanced,-22.95537928,2038,1264.501091
1,offshore,Advanced,-22.95537928,2039,1243.630998
1,offshore,Advanced,-22.95537928,2040,1223.688778
1,offshore,Advanced,-22.95537928,2041,1204.595424
1,offshore,Advanced,-22.95537928,2042,1186.281612
1,offshore,Advanced,-22.95537928,2043,1168.686177
1,offshore,Advanced,-22.95537928,2044,1151.754881
1,offshore,Advanced,-22.95537928,2045,1135.439407
1,offshore,Advanced,-22.95537928,2046,1119.696526
1,offshore,Advanced,-22.95537928,2047,1104.487405
1,offshore,Advanced,-22.95537928,2048,1089.777035
1,offshore,Advanced,-22.95537928,2049,1075.533741
1,offshore,Advanced,-22.95537928,2050,1061.728772
1,offshore,Moderate,-22.95537928,2019,2687.951291
1,offshore,Moderate,-22.95537928,2020,2502.175034
1,offshore,Moderate,-22.95537928,2021,2363.342305
1,offshore,Moderate,-22.95537928,2022,2250.232006
1,offshore,Moderate,-22.95537928,2023,2153.391695
1,offshore,Moderate,-22.95537928,2024,2067.77915
1,offshore,Moderate,-22.95537928,2025,1990.384614
1,offshore,Moderate,-22.95537928,2026,1919.266733
1,offshore,Moderate,-22.95537928,2027,1853.099963
1,offshore,Moderate,-22.95537928,2028,1790.938848
1,offshore,Moderate,-22.95537928,2029,1732.085299
1,offshore,Moderate,-22.95537928,2030,1676.009178
1,offshore,Moderate,-22.95537928,2031,1646.472754
1,offshore,Moderate,-22.95537928,2032,1618.975001
1,offshore,Moderate,-22.95537928,2033,1593.252571
1,offshore,Moderate,-22.95537928,2034,1569.090061
1,offshore,Moderate,-22.95537928,2035,1546.309042
1,offshore,Moderate,-22.95537928,2036,1524.760046
1,offshore,Moderate,-22.95537928,2037,1504.316625
1,offshore,Moderate,-22.95537928,2038,1484.870849
1,offshore,Moderate,-22.95537928,2039,1466.329863
1,offshore,Moderate,-22.95537928,2040,1448.613198
1,offshore,Moderate,-22.95537928,2041,1431.650666
1,offshore,Moderate,-22.95537928,2042,1415.380679
1,offshore,Moderate,-22.95537928,2043,1399.748897
1,offshore,Moderate,-22.95537928,2044,1384.707137
1,offshore,Moderate,-22.95537928,2045,1370.212473
1,offshore,Moderate,-22.95537928,2046,1356.2265
1,offshore,Moderate,-22.95537928,2047,1342.71472
1,offshore,Moderate,-22.95537928,2048,1329.64603
1,offshore,Moderate,-22.95537928,2049,1316.99229
1,offshore,Moderate,-22.95537928,2050,1304.727958
1,offshore,Conservative,-22.95537928,2019,2847.170997
1,offshore,Conservative,-22.95537928,2020,2720.011642
1,offshore,Conservative,-22.95537928,2021,2624.231739
1,offshore,Conservative,-22.95537928,2022,2545.646023
1,offshore,Conservative,-22.95537928,2023,2477.935997
1,offshore,Conservative,-22.95537928,2024,2417.731183
1,offshore,Conservative,-22.95537928,2025,2363.019707
1,offshore,Conservative,-22.95537928,2026,2312.503867
1,offshore,Conservative,-22.95537928,2027,2265.297603
1,offshore,Conservative,-22.95537928,2028,2220.768923
1,offshore,Conservative,-22.95537928,2029,2178.451189
1,offshore,Conservative,-22.95537928,2030,2137.99003
1,offshore,Conservative,-22.95537928,2031,2118.246376
1,offshore,Conservative,-22.95537928,2032,2099.865473
1,offshore,Conservative,-22.95537928,2033,2082.671287
1,offshore,Conservative,-22.95537928,2034,2066.519831
1,offshore,Conservative,-22.95537928,2035,2051.291834
1,offshore,Conservative,-22.95537928,2036,2036.887385
1,offshore,Conservative,-22.95537928,2037,2023.221958
1,offshore,Conservative,-22.95537928,2038,2010.223408
1,offshore,Conservative,-22.95537928,2039,1997.829665
1,offshore,Conservative,-22.95537928,2040,1985.986942
1,offshore,Conservative,-22.95537928,2041,1974.648319
1,offshore,Conservative,-22.95537928,2042,1963.772629
1,offshore,Conservative,-22.95537928,2043,1953.323547
1,offshore,Conservative,-22.95537928,2044,1943.268867
1,offshore,Conservative,-22.95537928,2045,1933.579893
1,offshore,Conservative,-22.95537928,2046,1924.230954
1,offshore,Conservative,-22.95537928,2047,1915.19899
1,offshore,Conservative,-22.95537928,2048,1906.46321
1,offshore,Conservative,-22.95537928,2049,1898.004804
1,offshore,Conservative,-22.95537928,2050,1889.806698
7,offshore,Advanced,-35.89761595,2019,3198.878358
7,offshore,Advanced,-35.89761595,2020,2943.828117
7,offshore,Advanced,-35.89761595,2021,2754.039528
7,offshore,Advanced,-35.89761595,2022,2600.010676
7,offshore,Advanced,-35.89761595,2023,2468.600622
7,offshore,Advanced,-35.89761595,2024,2352.79959
7,offshore,Advanced,-35.89761595,2025,2248.423367
7,offshore,Advanced,-35.89761595,2026,2152.77305
7,offshore,Advanced,-35.89761595,2027,2064.005849
7,offshore,Advanced,-35.89761595,2028,1980.807374
7,offshore,Advanced,-35.89761595,2029,1902.207129
7,offshore,Advanced,-35.89761595,2030,1827.468111
7,offshore,Advanced,-35.89761595,2031,1786.406097
7,offshore,Advanced,-35.89761595,2032,1748.178277
7,offshore,Advanced,-35.89761595,2033,1712.41854
7,offshore,Advanced,-35.89761595,2034,1678.82743
7,offshore,Advanced,-35.89761595,2035,1647.156889
7,offshore,Advanced,-35.89761595,2036,1617.199128
7,offshore,Advanced,-35.89761595,2037,1588.778353
7,offshore,Advanced,-35.89761595,2038,1561.744523
7,offshore,Advanced,-35.89761595,2039,1535.968544
7,offshore,Advanced,-35.89761595,2040,1511.338551
7,offshore,Advanced,-35.89761595,2041,1487.756965
7,offshore,Advanced,-35.89761595,2042,1465.138167
7,offshore,Advanced,-35.89761595,2043,1443.406612
7,offshore,Advanced,-35.89761595,2044,1422.495315
7,offshore,Advanced,-35.89761595,2045,1402.344599
7,offshore,Advanced,-35.89761595,2046,1382.901073
7,offshore,Advanced,-35.89761595,2047,1364.116779
7,offshore,Advanced,-35.89761595,2048,1345.948475
7,offshore,Advanced,-35.89761595,2049,1328.357041
7,offshore,Advanced,-35.89761595,2050,1311.306969
7,offshore,Moderate,-35.89761595,2019,3319.801964
7,offshore,Moderate,-35.89761595,2020,3090.355699
7,offshore,Moderate,-35.89761595,2021,2918.887873
7,offshore,Moderate,-35.89761595,2022,2779.188991
7,offshore,Moderate,-35.89761595,2023,2659.584645
7,offshore,Moderate,-35.89761595,2024,2553.847351
7,offshore,Moderate,-35.89761595,2025,2458.259855
7,offshore,Moderate,-35.89761595,2026,2370.424453
7,offshore,Moderate,-35.89761595,2027,2288.70401
7,offshore,Moderate,-35.89761595,2028,2211.930821
7,offshore,Moderate,-35.89761595,2029,2139.2427
7,offshore,Moderate,-35.89761595,2030,2069.984892
7,offshore,Moderate,-35.89761595,2031,2033.505406
7,offshore,Moderate,-35.89761595,2032,1999.543818
7,offshore,Moderate,-35.89761595,2033,1967.774874
7,offshore,Moderate,-35.89761595,2034,1937.932538
7,offshore,Moderate,-35.89761595,2035,1909.796436
7,offshore,Moderate,-35.89761595,2036,1883.181966
7,offshore,Moderate,-35.89761595,2037,1857.932955
7,offshore,Moderate,-35.89761595,2038,1833.916105
7,offshore,Moderate,-35.89761595,2039,1811.01673
7,offshore,Moderate,-35.89761595,2040,1789.135448
7,offshore,Moderate,-35.89761595,2041,1768.185573
7,offshore,Moderate,-35.89761595,2042,1748.091036
7,offshore,Moderate,-35.89761595,2043,1728.784727
7,offshore,Moderate,-35.89761595,2044,1710.207134
7,offshore,Moderate,-35.89761595,2045,1692.305242
7,offshore,Moderate,-35.89761595,2046,1675.031617
7,offshore,Moderate,-35.89761595,2047,1658.343654
7,offshore,Moderate,-35.89761595,2048,1642.202936
7,offshore,Moderate,-35.89761595,2049,1626.574709
7,offshore,Moderate,-35.89761595,2050,1611.427429
7,offshore,Conservative,-35.89761595,2019,3516.449089
7,offshore,Conservative,-35.89761595,2020,3359.39867
7,offshore,Conservative,-35.89761595,2021,3241.104001
7,offshore,Conservative,-35.89761595,2022,3144.045316
7,offshore,Conservative,-35.89761595,2023,3060.418847
7,offshore,Conservative,-35.89761595,2024,2986.061823
7,offshore,Conservative,-35.89761595,2025,2918.489442
7,offshore,Conservative,-35.89761595,2026,2856.098957
7,offshore,Conservative,-35.89761595,2027,2797.796023
7,offshore,Conservative,-35.89761595,2028,2742.800086
7,offshore,Conservative,-35.89761595,2029,2690.534818
7,offshore,Conservative,-35.89761595,2030,2640.562545
7,offshore,Conservative,-35.89761595,2031,2616.177794
7,offshore,Conservative,-35.89761595,2032,2593.476134
7,offshore,Conservative,-35.89761595,2033,2572.240149
7,offshore,Conservative,-35.89761595,2034,2552.292007
7,offshore,Conservative,-35.89761595,2035,2533.484399
7,offshore,Conservative,-35.89761595,2036,2515.693928
7,offshore,Conservative,-35.89761595,2037,2498.816199
7,offshore,Conservative,-35.89761595,2038,2482.76211
7,offshore,Conservative,-35.89761595,2039,2467.454998
7,offshore,Conservative,-35.89761595,2040,2452.828432
7,offshore,Conservative,-35.89761595,2041,2438.824465
7,offshore,Conservative,-35.89761595,2042,2425.39225
7,offshore,Conservative,-35.89761595,2043,2412.486927
7,offshore,Conservative,-35.89761595,2044,2400.068715
7,offshore,Conservative,-35.89761595,2045,2388.102176
7,offshore,Conservative,-35.89761595,2046,2376.555603
