sensitivity,bin_number,NZAu_maj,incap,name,type
[d],5,ex-sa,3191.0753403479603,offshore wind|5,offshore
[d],5,nsw-south,2516.8,offshore wind|5,offshore
[d],5,nt,1615184.0725324107,offshore wind|5,offshore
[d],5,qld-north,230048.7458554778,offshore wind|5,offshore
[d],5,qld-south,13269.3,offshore wind|5,offshore
[d],5,sa,278146.2661706626,offshore wind|5,offshore
[d],5,tas,9657.085935970112,offshore wind|5,offshore
[d],5,vic-west,5436.783808610364,offshore wind|5,offshore
[d],5,wa-north,7679.1,offshore wind|5,offshore
[d],5,wa-south,170830.40214081813,offshore wind|5,offshore
[d],2,ex-wa,927054.2366961025,offshore wind|2,offshore
[d],2,nsw-south,32997.8,offshore wind|2,offshore
[d],2,sa,166443.01567729306,offshore wind|2,offshore
[d],2,tas,438090.55477126193,offshore wind|2,offshore
[d],2,vic-east,402565.00549253833,offshore wind|2,offshore
[d],2,vic-west,75288.125,offshore wind|2,offshore
[d],2,wa-central,66638.26512499328,offshore wind|2,offshore
[d],2,wa-south,188167.2016762128,offshore wind|2,offshore
[d],1,ex-wa,13335.169073101184,offshore wind|1,offshore
[d],1,nsw-south,7910.1,offshore wind|1,offshore
[d],1,tas,558736.304635839,offshore wind|1,offshore
[d],1,vic-east,29525.925,offshore wind|1,offshore
[d],1,vic-west,143865.7,offshore wind|1,offshore
[d],1,wa-central,1448.7,offshore wind|1,offshore
[d],1,wa-south,28347.0,offshore wind|1,offshore
[d],4,ex-sa,200656.89077468752,offshore wind|4,offshore
[d],4,ex-wa,517.34401841184,offshore wind|4,offshore
[d],4,nsw-central,5256.9,offshore wind|4,offshore
[d],4,nsw-north,10985.7,offshore wind|4,offshore
[d],4,nsw-south,53330.475,offshore wind|4,offshore
[d],4,nt,415039.1594993892,offshore wind|4,offshore
[d],4,qld-south,134390.3,offshore wind|4,offshore
[d],4,sa,403271.2217598866,offshore wind|4,offshore
[d],4,tas,94420.01131863064,offshore wind|4,offshore
[d],4,vic-east,98111.98247090686,offshore wind|4,offshore
[d],4,vic-west,30424.93080480026,offshore wind|4,offshore
[d],4,wa-north,69829.99167941735,offshore wind|4,offshore
[d],4,wa-south,408353.3372559244,offshore wind|4,offshore
[d],3,ex-sa,3150.538787644808,offshore wind|3,offshore
[d],3,ex-wa,1868.995281693045,offshore wind|3,offshore
[d],3,nsw-south,5008.3,offshore wind|3,offshore
[d],3,nt,29918.899999999998,offshore wind|3,offshore
[d],3,qld-north,570124.708349019,offshore wind|3,offshore
[d],3,qld-south,2806.1000000000004,offshore wind|3,offshore
[d],3,sa,602872.508994592,offshore wind|3,offshore
[d],3,tas,9301.837416707125,offshore wind|3,offshore
[d],3,vic-east,1306.8,offshore wind|3,offshore
[d],3,vic-west,4146.725,offshore wind|3,offshore
[d],3,wa-south,332952.39999999997,offshore wind|3,offshore
[d],2,ex-nsw,2685.65625,onshore wind|2,onshore
[d],2,ex-nt,9870.01875,onshore wind|2,onshore
[d],2,ex-qld,48187.575,onshore wind|2,onshore
[d],2,ex-sa,55029.375,onshore wind|2,onshore
[d],2,ex-wa,48928.598585661945,onshore wind|2,onshore
[d],2,nsw-central,38998.96875,onshore wind|2,onshore
[d],2,nsw-north,7612.65,onshore wind|2,onshore
[d],2,nsw-outback,230534.4375,onshore wind|2,onshore
[d],2,nsw-south,54192.7125,onshore wind|2,onshore
[d],2,nt,1732.21875,onshore wind|2,onshore
[d],2,qld-north,251564.23125,onshore wind|2,onshore
[d],2,qld-outback,380876.00625,onshore wind|2,onshore
[d],2,qld-south,113634.05625,onshore wind|2,onshore
[d],2,sa,371085.6638927643,onshore wind|2,onshore
[d],2,tas,3779.457211270197,onshore wind|2,onshore
[d],2,vic-west,118547.38125,onshore wind|2,onshore
[d],2,wa-central,4101.235424650954,onshore wind|2,onshore
[d],2,wa-north,17923.10625,onshore wind|2,onshore
[d],2,wa-south,974164.04214948,onshore wind|2,onshore
[d],3,ex-nsw,198399.88125,onshore wind|3,onshore
[d],3,ex-nt,893025.16875,onshore wind|3,onshore
[d],3,ex-qld,1764069.3,onshore wind|3,onshore
