sensitivity,bin_number,NZAu_maj,vintage,value,name,interpolation_method,extrapolation_method,type
[d],5,ex-sa,2020,0.4654334285703206,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2021,0.4700176581670864,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2022,0.4735734515685478,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2023,0.47647875760238845,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2024,0.47893514072081045,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2025,0.48106296882773913,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2026,0.48293986107933295,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2027,0.48461877083204896,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2028,0.4861375375266803,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2029,0.48752407238824336,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2030,0.48879954754383664,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2031,0.48998045146502134,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2032,0.4910798551881988,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2033,0.4921082839660907,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2034,0.49307434514093273,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2035,0.4939851762176843,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2036,0.49484672722305567,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2037,0.49566409530293826,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2038,0.49644155941963686,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2039,0.49718285231288756,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2040,0.4978912045903858,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2041,0.49856938752656815,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2042,0.4992198781028954,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2043,0.4998448582044882,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2044,0.5004462646990129,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2045,0.5010257666033464,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2046,0.5015849624959592,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2047,0.5021251841363816,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2048,0.5026476997578269,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2049,0.5031536138312109,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2050,0.5036439562255073,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2020,0.42214244726631633,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2021,0.4263002845713877,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2022,0.42952534780942153,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2023,0.432160422085562,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2024,0.4343883358299559,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2025,0.43631824925691043,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2026,0.4380205609899973,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2027,0.43954331733198165,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2028,0.4409208214781371,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2029,0.44217838873109044,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2030,0.4433352321456782,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2031,0.4444063010852225,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2032,0.445403446822575,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2033,0.4463362168088146,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2034,0.44721241979135873,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2035,0.44803852854190157,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2036,0.44881994898763905,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2037,0.44956128869912637,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2038,0.4502664428613636,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2039,0.4509387876777182,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2040,0.45158125098479956,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2041,0.45219635628831945,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2042,0.4527863467906119,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2043,0.45335319683120073,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2044,0.453898659997827,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2045,0.45442426864245167,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2046,0.45493144613122005,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2047,0.4554214215126989,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2048,0.45589533279343275,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2049,0.45635419148331535,offshore wind|5,two_tier,two_tier,offshore
[d],5,nsw-south,2050,0.45679892850954523,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2020,0.4234474277705853,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2021,0.4276181153194148,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2022,0.4308531500435708,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2023,0.43349636727682284,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2024,0.4357311728714222,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2025,0.43766705141617845,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2026,0.43937461867169175,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2027,0.44090208818666465,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2028,0.44228385151937444,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2029,0.4435453038090784,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2030,0.4447057266296684,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2031,0.44578010996621675,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2032,0.44678033816572377,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2033,0.44771598912420774,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2034,0.4485948979491943,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2035,0.44942355637972115,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2036,0.450207397122873,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2037,0.4509510250842468,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2038,0.45165836297213713,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2039,0.45233278775721764,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2040,0.4529772326748688,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2041,0.45359424151689387,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2042,0.4541860594408926,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2043,0.4547546627264322,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2044,0.4553018067940589,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2045,0.45582904767403215,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2046,0.4563377867411725,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2047,0.4568292769685573,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2048,0.45730464943988663,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2049,0.45776492763460447,offshore wind|5,two_tier,two_tier,offshore
[d],5,nt,2050,0.4582110416200898,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2020,0.3994145707119383,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2021,0.4033485488378784,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2022,0.40639997898651564,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2023,0.4088931792185683,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2024,0.41100114875528304,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2025,0.4128271561137765,offshore wind|5,two_tier,two_tier,offshore
[d],5,qld-north,2026,0.4144378090440991,offshore wind|5,two_tier,two_tier,offshore
