"sensitivity","bin_number","NZAu_maj","vintage","value","name","interpolation_method","extrapolation_method","type"
"[d]",5,"ex-sa",2020,0.465433428570321,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2021,0.470017658167086,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2022,0.473573451568548,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2023,0.476478757602388,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2024,0.47893514072081,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2025,0.481062968827739,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2026,0.482939861079333,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2027,0.484618770832049,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2028,0.48613753752668,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2029,0.487524072388243,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2030,0.488799547543837,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2031,0.489980451465021,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2032,0.491079855188199,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2033,0.492108283966091,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2034,0.493074345140933,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2035,0.493985176217684,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2036,0.494846727223056,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2037,0.495664095302938,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2038,0.496441559419637,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2039,0.497182852312888,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2040,0.497891204590386,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2041,0.498569387526568,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2042,0.499219878102895,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2043,0.499844858204488,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2044,0.500446264699013,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2045,0.501025766603346,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2046,0.501584962495959,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2047,0.502125184136382,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2048,0.502647699757827,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2049,0.503153613831211,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"ex-sa",2050,0.503643956225507,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2020,0.422142447266316,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2021,0.426300284571388,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2022,0.429525347809422,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2023,0.432160422085562,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2024,0.434388335829956,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2025,0.43631824925691,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2026,0.438020560989997,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2027,0.439543317331982,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2028,0.440920821478137,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2029,0.44217838873109,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2030,0.443335232145678,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2031,0.444406301085222,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2032,0.445403446822575,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2033,0.446336216808815,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2034,0.447212419791359,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2035,0.448038528541902,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2036,0.448819948987639,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2037,0.449561288699126,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2038,0.450266442861364,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2039,0.450938787677718,"offshore wind|5","two_tier","two_tier","offshore"
"[d]",5,"nsw-south",2040,0.4515812509848,"offshore wind|5","two_tier","two_tier","offshore"
