"bin_number","NZAu_maj","vintage","value","name","type"
5,"ex-sa",2020,2723.64298891186,"offshore wind|5","offshore"
5,"ex-sa",2021,2572.52215079672,"offshore wind|5","offshore"
5,"ex-sa",2022,2449.40043957014,"offshore wind|5","offshore"
5,"ex-sa",2023,2343.98877528196,"offshore wind|5","offshore"
5,"ex-sa",2024,2250.7986486487,"offshore wind|5","offshore"
5,"ex-sa",2025,2166.55390847717,"offshore wind|5","offshore"
5,"ex-sa",2026,2089.14137107757,"offshore wind|5","offshore"
5,"ex-sa",2027,2017.11816893749,"offshore wind|5","offshore"
5,"ex-sa",2028,1949.45516253173,"offshore wind|5","offshore"
5,"ex-sa",2029,1885.3924753362,"offshore wind|5","offshore"
5,"ex-sa",2030,1824.35304725065,"offshore wind|5","offshore"
5,"ex-sa",2031,1792.20234870294,"offshore wind|5","offshore"
5,"ex-sa",2032,1762.2707647331,"offshore wind|5","offshore"
5,"ex-sa",2033,1734.27163784452,"offshore wind|5","offshore"
5,"ex-sa",2034,1707.97050016883,"offshore wind|5","offshore"
5,"ex-sa",2035,1683.17312913456,"offshore wind|5","offshore"
5,"ex-sa",2036,1659.71682771941,"offshore wind|5","offshore"
5,"ex-sa",2037,1637.46395555453,"offshore wind|5","offshore"
5,"ex-sa",2038,1616.29703081441,"offshore wind|5","offshore"
5,"ex-sa",2039,1596.11497846188,"offshore wind|5","offshore"
5,"ex-sa",2040,1576.83020817575,"offshore wind|5","offshore"
5,"ex-sa",2041,1558.36631995599,"offshore wind|5","offshore"
5,"ex-sa",2042,1540.65627326454,"offshore wind|5","offshore"
5,"ex-sa",2043,1523.64091980702,"offshore wind|5","offshore"
5,"ex-sa",2044,1507.2678108695,"offshore wind|5","offshore"
5,"ex-sa",2045,1491.49022163584,"offshore wind|5","offshore"
5,"ex-sa",2046,1476.26634741224,"offshore wind|5","offshore"
5,"ex-sa",2047,1461.558637666,"offshore wind|5","offshore"
5,"ex-sa",2048,1447.33323545311,"offshore wind|5","offshore"
5,"ex-sa",2049,1433.55951040089,"offshore wind|5","offshore"
5,"ex-sa",2050,1420.20966057334,"offshore wind|5","offshore"
5,"nsw-south",2020,3110.92029743397,"offshore wind|5","offshore"
5,"nsw-south",2021,2939.448942748,"offshore wind|5","offshore"
5,"nsw-south",2022,2799.76570763124,"offshore wind|5","offshore"
5,"nsw-south",2023,2680.18913770027,"offshore wind|5","offshore"
5,"nsw-south",2024,2574.48798987146,"offshore wind|5","offshore"
5,"nsw-south",2025,2478.94276647687,"offshore wind|5","offshore"
5,"nsw-south",2026,2391.15431618889,"offshore wind|5","offshore"
5,"nsw-south",2027,2309.4845156822,"offshore wind|5","offshore"
5,"nsw-south",2028,2232.76495556656,"offshore wind|5","offshore"
5,"nsw-south",2029,2160.13292914712,"offshore wind|5","offshore"
5,"nsw-south",2030,2090.93328605429,"offshore wind|5","offshore"
5,"nsw-south",2031,2054.43178124452,"offshore wind|5","offshore"
5,"nsw-south",2032,2020.44969409704,"offshore wind|5","offshore"
5,"nsw-south",2033,1988.66157445406,"offshore wind|5","offshore"
5,"nsw-south",2034,1958.80122570452,"offshore wind|5","offshore"
5,"nsw-south",2035,1930.6481407035,"offshore wind|5","offshore"
5,"nsw-south",2036,1904.0176062788,"offshore wind|5","offshore"
5,"nsw-south",2037,1878.75335515567,"offshore wind|5","offshore"
5,"nsw-south",2038,1854.7220085526,"offshore wind|5","offshore"
5,"nsw-south",2039,1831.80881164414,"offshore wind|5","offshore"
5,"nsw-south",2040,1809.91432220302,"offshore wind|5","offshore"
5,"nsw-south",2041,1788.95180176213,"offshore wind|5","offshore"
5,"nsw-south",2042,1768.84513585728,"offshore wind|5","offshore"
5,"nsw-south",2043,1749.52717356147,"offshore wind|5","offshore"
5,"nsw-south",2044,1730.93836715205,"offshore wind|5","offshore"
5,"nsw-south",2045,1713.02566961123,"offshore wind|5","offshore"
5,"nsw-south",2046,1695.74161838213,"offshore wind|5","offshore"
5,"nsw-south",2047,1679.04358246374,"offshore wind|5","offshore"
5,"nsw-south",2048,1662.89312197153,"offshore wind|5","offshore"
5,"nsw-south",2049,1647.25546196123,"offshore wind|5","offshore"
5,"nsw-south",2050,1632.09903895222,"offshore wind|5","offshore"
5,"nt",2020,3168.81929664585,"offshore wind|5","offshore"
5,"nt",2021,2995.44350708619,"offshore wind|5","offshore"
5,"nt",2022,2854.2299834241,"offshore wind|5","offshore"
5,"nt",2023,2733.35978066979,"offshore wind|5","offshore"
5,"nt",2024,2626.52831383389,"offshore wind|5","offshore"
5,"nt",2025,2529.9723067897,"offshore wind|5","offshore"
5,"nt",2026,2441.26437007641,"offshore wind|5","offshore"
5,"nt",2027,2358.74709955063,"offshore wind|5","offshore"
5,"nt",2028,2281.23833399147,"offshore wind|5","offshore"
5,"nt",2029,2207.86521238206,"offshore wind|5","offshore"
5,"nt",2030,2137.96487310749,"offshore wind|5","offshore"
5,"nt",2031,2101.03374539308,"offshore wind|5","offshore"
5,"nt",2032,2066.65168880898,"offshore wind|5","offshore"
5,"nt",2033,2034.48942276314,"offshore wind|5","offshore"
5,"nt",2034,2004.27761753307,"offshore wind|5","offshore"
5,"nt",2035,1975.79317037992,"offshore wind|5","offshore"
5,"nt",2036,1948.8491943685,"offshore wind|5","offshore"
5,"nt",2037,1923.28758291048,"offshore wind|5","offshore"
5,"nt",2038,1898.97338711618,"offshore wind|5","offshore"
5,"nt",2039,1875.7905017704,"offshore wind|5","offshore"
5,"nt",2040,1853.63831406192,"offshore wind|5","offshore"
5,"nt",2041,1832.42906448142,"offshore wind|5","offshore"
5,"nt",2042,1812.08574306264,"offshore wind|5","offshore"
5,"nt",2043,1792.540408179,"offshore wind|5","offshore"
5,"nt",2044,1773.73281134511,"offshore wind|5","offshore"
5,"nt",2045,1755.60928121768,"offshore wind|5","offshore"
5,"nt",2046,1738.12179664326,"offshore wind|5","offshore"
5,"nt",2047,1721.22722463358,"offshore wind|5","offshore"
5,"nt",2048,1704.88667309131,"offshore wind|5","offshore"
5,"nt",2049,1689.06495783465,"offshore wind|5","offshore"
5,"nt",2050,1673.73014348868,"offshore wind|5","offshore"
5,"qld-north",2020,2849.8129683197,"offshore wind|5","offshore"
5,"qld-north",2021,2692.83684077219,"offshore wind|5","offshore"
5,"qld-north",2022,2564.96333491705,"offshore wind|5","offshore"
5,"qld-north",2023,2455.49786003892,"offshore wind|5","offshore"
5,"qld-north",2024,2358.73559515058,"offshore wind|5","offshore"
5,"qld-north",2025,2271.27127020239,"offshore wind|5","offshore"
5,"qld-north",2026,2190.90841709093,"offshore wind|5","offshore"
5,"qld-north",2027,2116.14730247264,"offshore wind|5","offshore"
5,"qld-north",2028,2045.91822659983,"offshore wind|5","offshore"
5,"qld-north",2029,1979.4313647942,"offshore wind|5","offshore"
5,"qld-north",2030,1916.08691406184,"offshore wind|5","offshore"
5,"qld-north",2031,1882.66909983157,"offshore wind|5","offshore"
5,"qld-north",2032,1851.55785945036,"offshore wind|5","offshore"
5,"qld-north",2033,1822.4552376837,"offshore wind|5","offshore"
5,"qld-north",2034,1795.11752605379,"offshore wind|5","offshore"
5,"qld-north",2035,1769.34284686125,"offshore wind|5","offshore"
5,"qld-north",2036,1744.9620913454,"offshore wind|5","offshore"
5,"qld-north",2037,1721.83219428876,"offshore wind|5","offshore"
5,"qld-north",2038,1699.83104384752,"offshore wind|5","offshore"
5,"qld-north",2039,1678.85358121628,"offshore wind|5","offshore"
5,"qld-north",2040,1658.80876418322,"offshore wind|5","offshore"
5,"qld-north",2041,1639.61718169966,"offshore wind|5","offshore"
5,"qld-north",2042,1621.20915089382,"offshore wind|5","offshore"
5,"qld-north",2043,1603.52319250179,"offshore wind|5","offshore"
5,"qld-north",2044,1586.5047904628,"offshore wind|5","offshore"
5,"qld-north",2045,1570.10537868592,"offshore wind|5","offshore"
5,"qld-north",2046,1554.28150475361,"offshore wind|5","offshore"
5,"qld-north",2047,1538.99413830472,"offshore wind|5","offshore"
5,"qld-north",2048,1524.20808789573,"offshore wind|5","offshore"
5,"qld-north",2049,1509.89151612365,"offshore wind|5","offshore"
5,"qld-north",2050,1496.01552523223,"offshore wind|5","offshore"
5,"qld-south",2020,3494.96250498798,"offshore wind|5","offshore"
5,"qld-south",2021,3308.11676325721,"offshore wind|5","offshore"
5,"qld-south",2022,3156.00427814674,"offshore wind|5","offshore"
5,"qld-south",2023,3025.86132044759,"offshore wind|5","offshore"
5,"qld-south",2024,2910.87932858715,"offshore wind|5","offshore"
5,"qld-south",2025,2806.99419745085,"offshore wind|5","offshore"
5,"qld-south",2026,2711.58449624676,"offshore wind|5","offshore"
