"bin_number","NZAu_maj","depth_m","name","type"
5,"ex-sa",-27.2259873482744,"offshore wind|5","offshore"
5,"nsw-south",-44.729458041958,"offshore wind|5","offshore"
5,"nt",-57.4152936667419,"offshore wind|5","offshore"
5,"qld-north",-29.3335858828805,"offshore wind|5","offshore"
5,"qld-south",-177.573240487441,"offshore wind|5","offshore"
5,"sa",-69.1704373622133,"offshore wind|5","offshore"
5,"tas",-98.2295416329137,"offshore wind|5","offshore"
5,"vic-west",-47.6799214492682,"offshore wind|5","offshore"
5,"wa-north",-109.197106431743,"offshore wind|5","offshore"
5,"wa-south",-41.5483132189603,"offshore wind|5","offshore"
1,"ex-wa",-411.994079354385,"offshore wind|1","offshore"
1,"nsw-south",-641.040102673511,"offshore wind|1","offshore"
1,"sa",-307.785146933718,"offshore wind|1","offshore"
1,"tas",-331.360505544965,"offshore wind|1","offshore"
1,"vic-east",-75.6220424895449,"offshore wind|1","offshore"
1,"vic-west",-296.266309926034,"offshore wind|1","offshore"
1,"wa-central",-20.7982297479031,"offshore wind|1","offshore"
1,"wa-south",-458.792806347981,"offshore wind|1","offshore"
2,"ex-wa",-209.770423947398,"offshore wind|2","offshore"
2,"nsw-south",-367.634821304408,"offshore wind|2","offshore"
2,"tas",-119.606317515012,"offshore wind|2","offshore"
2,"vic-east",-89.7060642469286,"offshore wind|2","offshore"
2,"vic-west",-136.618471254788,"offshore wind|2","offshore"
2,"wa-central",-61.2558845861807,"offshore wind|2","offshore"
2,"wa-south",-163.973690337602,"offshore wind|2","offshore"
3,"ex-sa",-51.7160512828622,"offshore wind|3","offshore"
3,"ex-wa",-22.6983536909187,"offshore wind|3","offshore"
3,"nsw-central",-754.757480644486,"offshore wind|3","offshore"
3,"nsw-north",-347.183939120857,"offshore wind|3","offshore"
3,"nsw-south",-114.080323211072,"offshore wind|3","offshore"
3,"nt",-74.106878346576,"offshore wind|3","offshore"
3,"qld-south",-131.04316829414,"offshore wind|3","offshore"
3,"sa",-61.6475970310803,"offshore wind|3","offshore"
3,"tas",-92.471892908851,"offshore wind|3","offshore"
3,"vic-east",-58.6658965484456,"offshore wind|3","offshore"
3,"vic-west",-44.189973953582,"offshore wind|3","offshore"
3,"wa-north",-169.724957165053,"offshore wind|3","offshore"
3,"wa-south",-141.209047795862,"offshore wind|3","offshore"
4,"ex-sa",-61.736250696474,"offshore wind|4","offshore"
4,"ex-wa",-25.2995096244251,"offshore wind|4","offshore"
4,"nsw-south",-303.807599385021,"offshore wind|4","offshore"
4,"nt",-69.9462112577669,"offshore wind|4","offshore"
4,"qld-north",-28.3962554696429,"offshore wind|4","offshore"
4,"qld-south",-321.857310858487,"offshore wind|4","offshore"
4,"sa",-195.456798543497,"offshore wind|4","offshore"
4,"tas",-36.9639733154634,"offshore wind|4","offshore"
4,"vic-east",-68.763468013468,"offshore wind|4","offshore"
4,"vic-west",-59.2812520724186,"offshore wind|4","offshore"
4,"wa-south",-212.75366388709,"offshore wind|4","offshore"
