bin_number,NZAu_maj,depth_m,name,type
1,ex-wa,-421.459491034133,offshore wind|1,offshore
1,nsw-south,-641.040102673511,offshore wind|1,offshore
1,sa,-498.63730873516505,offshore wind|1,offshore
1,tas,-213.39666728804926,offshore wind|1,offshore
1,vic-east,-76.95718053074111,offshore wind|1,offshore
1,vic-west,-200.14020282675583,offshore wind|1,offshore
1,wa-south,-333.96842795739747,offshore wind|1,offshore
2,ex-wa,-166.67511312217164,offshore wind|2,offshore
2,nsw-south,-360.4758801789532,offshore wind|2,offshore
2,qld-north,-26.1465245589686,offshore wind|2,offshore
2,sa,-45.44656488549617,offshore wind|2,offshore
2,tas,-52.62567048061873,offshore wind|2,offshore
2,vic-east,-64.98648822545361,offshore wind|2,offshore
2,vic-west,-328.7484556318919,offshore wind|2,offshore
2,wa-south,-248.51557340472985,offshore wind|2,offshore
3,ex-sa,-51.75177561885948,offshore wind|3,offshore
3,ex-wa,-37.6009688934218,offshore wind|3,offshore
3,nsw-north,-975.40776699029,offshore wind|3,offshore
3,nsw-south,-102.41737662755204,offshore wind|3,offshore
3,nt,-67.74282014882299,offshore wind|3,offshore
3,qld-south,-115.36142904953158,offshore wind|3,offshore
3,sa,-103.93858337370213,offshore wind|3,offshore
3,tas,-119.24939354538243,offshore wind|3,offshore
3,vic-east,-119.10189261821702,offshore wind|3,offshore
3,vic-west,-62.0933425848155,offshore wind|3,offshore
3,wa-south,-289.8811178257865,offshore wind|3,offshore
4,ex-sa,-52.580702647657844,offshore wind|4,offshore
4,ex-wa,-27.8808139534884,offshore wind|4,offshore
4,nsw-south,-146.11312573906184,offshore wind|4,offshore
4,nt,-59.975077090447975,offshore wind|4,offshore
4,qld-north,-30.791425496540256,offshore wind|4,offshore
4,qld-south,-91.22331161317837,offshore wind|4,offshore
4,sa,-192.06163804001855,offshore wind|4,offshore
4,tas,-175.6625801058793,offshore wind|4,offshore
4,vic-east,-63.7913043478261,offshore wind|4,offshore
4,vic-west,-49.33060718711277,offshore wind|4,offshore
4,wa-south,-225.13397126963386,offshore wind|4,offshore
5,nsw-south,-146.7027233392722,offshore wind|5,offshore
5,nt,-67.52032520325206,offshore wind|5,offshore
5,qld-north,-36.81433317930778,offshore wind|5,offshore
5,qld-south,-97.38963100119031,offshore wind|5,offshore
5,sa,-31.01124275046314,offshore wind|5,offshore
5,tas,-55.83101608400785,offshore wind|5,offshore
5,vic-east,-52.12543794153118,offshore wind|5,offshore
5,wa-north,-274.31359873866757,offshore wind|5,offshore
5,wa-south,-37.19851964798725,offshore wind|5,offshore
