bin_number,NZAu_maj,tx_cost_per_kw,name,type
5,ex-sa,1570.3872490688343,offshore wind|5,offshore
5,nsw-south,1408.9587981153438,offshore wind|5,offshore
5,nt,1476.1266765958542,offshore wind|5,offshore
5,qld-north,1755.1220526728398,offshore wind|5,offshore
5,qld-south,1372.6633353292789,offshore wind|5,offshore
5,sa,1395.8675147642289,offshore wind|5,offshore
5,tas,1311.2285313645982,offshore wind|5,offshore
5,vic-west,1286.5857498991497,offshore wind|5,offshore
5,wa-north,1357.8415394573915,offshore wind|5,offshore
5,wa-south,1431.4559048399044,offshore wind|5,offshore
2,ex-wa,679.6269262748332,offshore wind|2,offshore
2,nsw-south,1023.6022481485983,offshore wind|2,offshore
2,sa,972.9686876078908,offshore wind|2,offshore
2,tas,873.9973876438296,offshore wind|2,offshore
2,vic-east,816.1613216086923,offshore wind|2,offshore
2,vic-west,943.2663307571877,offshore wind|2,offshore
2,wa-central,688.4617730557512,offshore wind|2,offshore
2,wa-south,950.193521639423,offshore wind|2,offshore
1,ex-wa,1166.3562556602553,offshore wind|1,offshore
1,nsw-south,1312.86960651659,offshore wind|1,offshore
1,tas,1129.8063332796376,offshore wind|1,offshore
1,vic-east,1037.9955451885523,offshore wind|1,offshore
1,vic-west,1067.760357982323,offshore wind|1,offshore
1,wa-central,964.696804555461,offshore wind|1,offshore
1,wa-south,1213.1769302418281,offshore wind|1,offshore
4,ex-sa,804.1481458891393,offshore wind|4,offshore
4,ex-wa,1006.13031907242,offshore wind|4,offshore
4,nsw-central,823.2839383898593,offshore wind|4,offshore
4,nsw-north,801.098645310089,offshore wind|4,offshore
4,nsw-south,924.9389711396653,offshore wind|4,offshore
4,nt,1083.7017238678268,offshore wind|4,offshore
4,qld-south,979.4376793781204,offshore wind|4,offshore
4,sa,957.6189659165699,offshore wind|4,offshore
4,tas,855.7006127261897,offshore wind|4,offshore
4,vic-east,791.285898675766,offshore wind|4,offshore
4,vic-west,951.7564487362472,offshore wind|4,offshore
4,wa-north,914.9153909258051,offshore wind|4,offshore
4,wa-south,967.1251710136536,offshore wind|4,offshore
3,ex-sa,1667.9449702479603,offshore wind|3,offshore
3,ex-wa,1391.957817284436,offshore wind|3,offshore
3,nsw-south,1468.8188517195167,offshore wind|3,offshore
3,nt,1711.7629086980899,offshore wind|3,offshore
3,qld-north,1815.981158281914,offshore wind|3,offshore
3,qld-south,1601.8249954307876,offshore wind|3,offshore
3,sa,1527.181101014765,offshore wind|3,offshore
3,tas,1536.3216040389975,offshore wind|3,offshore
3,vic-east,1317.3717425915102,offshore wind|3,offshore
3,vic-west,1348.6080527653169,offshore wind|3,offshore
3,wa-south,1519.1798601361295,offshore wind|3,offshore
2,ex-nsw,617.1677830404989,onshore wind|2,onshore
2,ex-nt,622.3618032871477,onshore wind|2,onshore
2,ex-qld,617.7314141138444,onshore wind|2,onshore
2,ex-sa,625.5985311535707,onshore wind|2,onshore
2,ex-wa,616.2953293227195,onshore wind|2,onshore
2,nsw-central,611.970823157317,onshore wind|2,onshore
2,nsw-north,677.3404912909086,onshore wind|2,onshore
2,nsw-outback,605.3254653574519,onshore wind|2,onshore
2,nsw-south,661.4965002770392,onshore wind|2,onshore
2,nt,652.6176643523771,onshore wind|2,onshore
2,qld-north,647.6905247817807,onshore wind|2,onshore
2,qld-outback,580.502173055557,onshore wind|2,onshore
2,qld-south,655.3876038318373,onshore wind|2,onshore
2,sa,675.6014933861553,onshore wind|2,onshore
2,tas,642.2687060295997,onshore wind|2,onshore
2,vic-west,614.5268447436666,onshore wind|2,onshore
2,wa-central,593.179017790102,onshore wind|2,onshore
2,wa-north,706.6203241621992,onshore wind|2,onshore
2,wa-south,663.082710908027,onshore wind|2,onshore
3,ex-nsw,221.2269883350996,onshore wind|3,onshore
3,ex-nt,175.04238597765925,onshore wind|3,onshore
3,ex-qld,185.2385049514791,onshore wind|3,onshore
3,ex-sa,162.83076929854195,onshore wind|3,onshore
3,ex-wa,171.8250502276268,onshore wind|3,onshore
3,nsw-central,269.3623345774496,onshore wind|3,onshore
3,nsw-north,237.83864120619495,onshore wind|3,onshore
3,nsw-outback,211.77722183713323,onshore wind|3,onshore
3,nsw-south,225.3518009260879,onshore wind|3,onshore
3,nt,166.17907700200524,onshore wind|3,onshore
3,qld-north,214.72213829114088,onshore wind|3,onshore
3,qld-outback,222.88322371377376,onshore wind|3,onshore
3,qld-south,250.4352006632561,onshore wind|3,onshore
3,sa,240.959088620642,onshore wind|3,onshore
3,tas,222.73447456709678,onshore wind|3,onshore
3,vic-east,207.14379661775243,onshore wind|3,onshore
3,vic-west,242.6333998525194,onshore wind|3,onshore
3,wa-central,174.6090011841082,onshore wind|3,onshore
3,wa-north,200.80065647984063,onshore wind|3,onshore
3,wa-south,228.9941902556944,onshore wind|3,onshore
5,ex-nsw,653.1735321399856,onshore wind|5,onshore
5,ex-nt,642.964307252408,onshore wind|5,onshore
5,ex-qld,616.392756764299,onshore wind|5,onshore
5,ex-sa,651.1603705754013,onshore wind|5,onshore
5,ex-wa,630.6996501692975,onshore wind|5,onshore
5,nsw-central,689.2806314745917,onshore wind|5,onshore
5,nsw-north,659.0521267170499,onshore wind|5,onshore
5,nsw-outback,664.8995580611703,onshore wind|5,onshore
5,nsw-south,640.2315612006595,onshore wind|5,onshore
5,nt,670.9262175196503,onshore wind|5,onshore
5,qld-north,658.5384729152311,onshore wind|5,onshore
5,qld-outback,597.38408603486,onshore wind|5,onshore
5,qld-south,667.9501480769051,onshore wind|5,onshore
5,sa,646.4167858999044,onshore wind|5,onshore
5,tas,670.2052169804323,onshore wind|5,onshore
5,vic-east,554.8432364710319,onshore wind|5,onshore
5,vic-west,674.7328214739987,onshore wind|5,onshore
5,wa-central,550.3349285753366,onshore wind|5,onshore
5,wa-north,647.6761410481122,onshore wind|5,onshore
5,wa-south,643.9483716828157,onshore wind|5,onshore
1,ex-nsw,362.17514452989826,onshore wind|1,onshore
1,ex-nt,305.66758841279017,onshore wind|1,onshore
1,ex-qld,319.27539036979323,onshore wind|1,onshore
1,ex-sa,384.4882860253239,onshore wind|1,onshore
1,ex-wa,352.196103561028,onshore wind|1,onshore
1,nsw-central,378.81263735865866,onshore wind|1,onshore
1,nsw-north,367.62466789646425,onshore wind|1,onshore
1,nsw-outback,387.5370746412993,onshore wind|1,onshore
1,nsw-south,290.3655099798691,onshore wind|1,onshore
1,qld-north,391.0233083072822,onshore wind|1,onshore
1,qld-outback,386.3586691328288,onshore wind|1,onshore
1,qld-south,372.80408307648986,onshore wind|1,onshore
1,sa,399.9322911883805,onshore wind|1,onshore
1,tas,394.96554266227554,onshore wind|1,onshore
1,vic-east,304.50635745570145,onshore wind|1,onshore
1,vic-west,398.9063983139799,onshore wind|1,onshore
1,wa-central,311.5220368687115,onshore wind|1,onshore
1,wa-north,369.43648834387517,onshore wind|1,onshore
1,wa-south,440.90406970783897,onshore wind|1,onshore
4,ex-nsw,387.64990786648985,onshore wind|4,onshore
4,ex-nt,361.0781223372052,onshore wind|4,onshore
4,ex-qld,403.36134624416474,onshore wind|4,onshore
