"NZAu_maj","aspect","ep_case1","ep_case2","ep_case3","ep_nzauO","ep_nzauR","ep_pNr","ep_pC1","ep_pC2","ep_pC3","epde_case1","epde_case2","epde_case3","epde_nzauO","epde_nzauR","epde_pNr","epde_pC1","epde_pC2","epde_pC3"
"ex-nsw","TOT_bAUD2021",2.509,2.509,2.509,2.45,2.509,2.41,0,0,0,9999999,9999999,348.209,347.999,9999999,9999999,0,0,-100
"ex-nt","TOT_bAUD2021",9999999,1035.33,1035.2,1033.938,1035.2,0.12,965775.61,0,-0.01,9999999,585.914,585.914,586.758,585.914,-0.14,9999999,0,0
"ex-qld","TOT_bAUD2021",619.469,619.469,619.469,613.29,619.469,1.01,0,0,0,399.944,399.944,399.944,396.264,399.944,0.93,0,0,0
"ex-sa","TOT_bAUD2021",0.891,0.891,0.891,0.884,0.891,0.78,0,0,0,9999999,9999999,367.252,362.501,9999999,9999999,0,0,-100
"ex-wa","TOT_bAUD2021",830.422,798.763,798.77,798.76,798.763,0,3.96,0,0,443.83,443.83,443.835,444.824,443.83,-0.22,0,0,0
"nsw-central","TOT_bAUD2021",112.389,111.72,112.222,109.25,111.508,2.07,0.6,0,0.45,118.454,117.79,118.292,115.492,117.578,1.81,0.56,0,0.43
"nsw-north","TOT_bAUD2021",29.606,29.642,29.726,28.818,29.642,2.86,-0.12,0,0.28,36.417,36.406,36.526,35.865,36.406,1.51,0.03,0,0.33
"nsw-outback","TOT_bAUD2021",7.25,7.25,7.25,7.206,7.25,0.61,0,0,0,134.162,134.162,134.162,133.114,134.162,0.79,0,0,0
"nsw-south","TOT_bAUD2021",37.644,37.701,37.701,37.587,37.701,0.3,-0.15,0,0,40.281,40.674,40.674,40.913,40.674,-0.58,-0.97,0,0
"nt","TOT_bAUD2021",24.845,24.365,24.585,24.179,24.585,1.68,1.97,0,0.9,34.457,33.888,34.103,33.504,34.102,1.78,1.68,0,0.64
"qld-north","TOT_bAUD2021",25.679,25.679,25.679,58.61,25.679,-56.19,0,0,0,21.908,21.908,21.908,52.174,21.908,-58.01,0,0,0
"qld-outback","TOT_bAUD2021",25.14,25.14,25.14,24.882,25.14,1.04,0,0,0,127.093,127.093,127.093,125.565,127.093,1.22,0,0,0
"qld-south","TOT_bAUD2021",77.387,76.494,76.494,75.307,76.494,1.58,1.17,0,0,83.185,81.535,81.535,80.286,81.535,1.56,2.02,0,0
"sa","TOT_bAUD2021",24.232,24.232,24.232,26.707,24.232,-9.27,0,0,0,8.285,8.285,8.285,10.153,8.285,-18.4,0,0,0
"tas","TOT_bAUD2021",7.821,7.821,7.821,7.083,7.821,10.42,0,0,0,9999999,26.644,26.644,23.894,26.644,11.51,9999999,0,0
"vic-east","TOT_bAUD2021",73.581,73.581,73.581,75.478,73.581,-2.51,0,0,0,339.574,339.574,339.574,348.909,339.574,-2.68,0,0,0
"vic-west","TOT_bAUD2021",102.39,101.49,101.418,101.367,101.49,0.12,0.89,0,-0.07,120.353,115.166,114.679,114.02,115.035,0.89,4.5,0,-0.42
"wa-central","TOT_bAUD2021",15.547,15.547,15.547,15.53,15.547,0.11,0,0,0,24.286,24.286,24.286,24.255,24.286,0.13,0,0,0
"wa-north","TOT_bAUD2021",27.355,27.355,27.355,26.893,27.355,1.72,0,0,0,38.574,38.574,38.574,37.963,38.574,1.61,0,0,0
"wa-south","TOT_bAUD2021",68.381,67.87,67.675,67.37,67.87,0.74,0.75,0,-0.29,85.772,85.265,85.067,84.801,85.265,0.55,0.59,0,-0.23
"aus_max","TOT_bAUD2021",0,0,0,0,0,9999999,9999999,9999999,9999999,0,0,0,0,0,9999999,9999999,9999999,9999999
"aus_min","TOT_bAUD2021",0,0,0,0,0,-9999999,-9999999,-9999999,-9999999,0,0,0,0,0,-9999999,-9999999,-9999999,-9999999
