"NZAu_maj","aspect","ep_case1","ep_case2","ep_case3","ep_nzauO","ep_nzauR","ep_pNr","ep_pC1","ep_pC2","ep_pC3","epde_case1","epde_case2","epde_case3","epde_nzauO","epde_nzauR","epde_pNr","epde_pC1","epde_pC2","epde_pC3"
"ex-nsw","CP_bAUD2021",2.18,2.18,2.18,2.183,2.18,-0.15,0,0,0,9999999,9999999,253.899,254.032,9999999,9999999,9999999,9999999,0
"ex-nt","CP_bAUD2021",9999999,838.679,838.682,838.881,838.682,-0.02,9999999,0,0,9999999,499.145,499.145,499.231,499.145,-0.02,9999999,0,0
"ex-qld","CP_bAUD2021",515.508,515.508,515.508,517.44,515.508,-0.37,0,0,0,336.742,336.742,336.742,338.063,336.742,-0.39,0,0,0
"ex-sa","CP_bAUD2021",0.799,0.799,0.799,0.797,0.799,0.33,0,0,0,9999999,9999999,279.987,279.212,9999999,9999999,9999999,9999999,0
"ex-wa","CP_bAUD2021",678.335,677.643,677.51,677.574,677.643,0.01,0.12,0.02,0,375.655,375.655,375.577,375.631,375.655,0.01,0.02,0.02,0
"nsw-central","CP_bAUD2021",85.933,85.159,85.652,85.314,85.06,-0.3,0.33,-0.58,0,90.442,89.672,90.165,89.56,89.573,0.01,0.31,-0.55,0
"nsw-north","CP_bAUD2021",23.44,23.468,23.504,23.561,23.468,-0.39,-0.27,-0.15,0,28.721,28.735,28.781,28.762,28.735,-0.09,-0.21,-0.16,0
"nsw-outback","CP_bAUD2021",6.028,6.028,6.028,6.028,6.028,0,0,0,0,104.602,104.602,104.602,104.601,104.602,0,0,0,0
"nsw-south","CP_bAUD2021",31.762,31.827,31.827,32.211,31.827,-1.19,-0.2,0,0,33.211,33.659,33.659,33.773,33.659,-0.34,-1.33,0,0
"nt","CP_bAUD2021",19.503,19.372,19.307,19.198,19.307,0.57,1.02,0.34,0,27.146,27.002,26.931,26.757,26.931,0.65,0.8,0.26,0
"qld-north","CP_bAUD2021",20.257,20.257,20.257,42.385,20.257,-52.21,0,0,0,17.299,17.299,17.299,37.625,17.299,-54.02,0,0,0
"qld-outback","CP_bAUD2021",19.874,19.874,19.874,19.945,19.874,-0.35,0,0,0,97.067,97.067,97.067,97.412,97.067,-0.35,0,0,0
"qld-south","CP_bAUD2021",62.464,61.83,61.83,61.709,61.83,0.2,1.03,0,0,66.867,65.872,65.872,65.767,65.872,0.16,1.51,0,0
"sa","CP_bAUD2021",18.139,18.139,18.139,19.935,18.139,-9.01,0,0,0,6.396,6.396,6.396,7.824,6.396,-18.25,0,0,0
"tas","CP_bAUD2021",6.252,6.252,6.252,5.306,6.252,17.84,0,0,0,9999999,21.389,21.389,17.693,21.389,20.89,9999999,0,0
"vic-east","CP_bAUD2021",62.561,62.561,62.561,60.679,62.561,3.1,0,0,0,288.112,288.112,288.112,279.418,288.112,3.11,0,0,0
"vic-west","CP_bAUD2021",82.98,82.502,82.46,82.622,82.502,-0.15,0.63,0.05,0,94.073,91.982,91.425,91.334,91.82,0.53,2.9,0.61,0
"wa-central","CP_bAUD2021",12.909,12.909,12.909,12.909,12.909,0,0,0,0,19.974,19.974,19.974,19.978,19.974,-0.02,0,0,0
"wa-north","CP_bAUD2021",21.263,21.263,21.263,21.21,21.263,0.25,0,0,0,30.214,30.214,30.214,30.15,30.214,0.21,0,0,0
"wa-south","CP_bAUD2021",54.584,54.752,54.88,55.254,54.752,-0.91,-0.54,-0.23,0,68.158,68.33,68.455,68.951,68.33,-0.9,-0.43,-0.18,0
"aus_max","CP_bAUD2021",0,0,0,0,0,9999999,9999999,9999999,9999999,0,0,0,0,0,9999999,9999999,9999999,9999999
"aus_min","CP_bAUD2021",0,0,0,0,0,-9999999,-9999999,-9999999,-9999999,0,0,0,0,0,-9999999,-9999999,-9999999,-9999999
