"NZAu_maj","aspect","ep_case1","ep_case2","ep_case3","ep_nzauO","ep_nzauR","ep_pNr","ep_pC1","ep_pC2","ep_pC3","epde_case1","epde_case2","epde_case3","epde_nzauO","epde_nzauR","epde_pNr","epde_pC1","epde_pC2","epde_pC3"
"ex-nsw","build",2.691,2.691,2.691,2.696,2.691,-0.19,0,0,0,9999999,9999999,339.334,339.53,9999999,9999999,9999999,9999999,0
"ex-nt","build",9999999,1064.462,1064.466,1064.639,1064.466,-0.02,939338.08,0,0,9999999,602.664,602.664,602.71,602.664,-0.01,9999999,0,0
"ex-qld","build",760.858,760.858,760.858,763.67,760.858,-0.37,0,0,0,457.687,457.687,457.687,459.41,457.687,-0.38,0,0,0
"ex-sa","build",0.922,0.922,0.922,0.919,0.922,0.33,0,0,0,9999999,9999999,386.799,385.68,9999999,9999999,9999999,9999999,0
"ex-wa","build",932.323,931.291,931.395,931.326,931.291,0,0.1,-0.01,0,533.307,533.307,533.368,533.35,533.307,-0.01,-0.01,-0.01,0
"nsw-central","build",78.149,77.798,78.398,78.41,77.736,-0.86,-0.32,-0.77,0,82.808,82.458,83.058,82.74,82.396,-0.42,-0.3,-0.72,0
"nsw-north","build",17.855,17.89,17.933,18.034,17.89,-0.8,-0.43,-0.24,0,22.506,22.516,22.57,22.53,22.516,-0.06,-0.28,-0.24,0
"nsw-outback","build",6.074,6.074,6.074,6.074,6.074,0,0,0,0,149.021,149.021,149.021,149.02,149.021,0,0,0,0
"nsw-south","build",15.891,15.925,15.925,15.572,15.925,2.27,-0.21,0,0,22.83,23.066,23.066,22.67,23.066,1.75,-1.02,0,0
"nt","build",22.249,22.18,22.146,22.09,22.146,0.25,0.47,0.15,0,30.896,30.82,30.784,30.69,30.784,0.31,0.36,0.12,0
"qld-north","build",24.531,24.531,24.531,33.844,24.531,-27.52,0,0,0,20.823,20.823,20.823,29.37,20.823,-29.1,0,0,0
"qld-outback","build",24.715,24.715,24.715,24.803,24.715,-0.35,0,0,0,140.929,140.929,140.929,141.43,140.929,-0.35,0,0,0
"qld-south","build",51.937,51.568,51.568,51.424,51.568,0.28,0.72,0,0,55.315,54.732,54.732,54.61,54.732,0.22,1.07,0,0
"sa","build",19.65,19.65,19.65,19.968,19.65,-1.59,0,0,0,5.885,5.885,5.885,6.32,5.885,-6.88,0,0,0
"tas","build",3.385,3.385,3.385,3.418,3.385,-0.97,0,0,0,9999999,10.805,10.805,10.92,10.805,-1.05,9999999,0,0
"vic-east","build",20.913,20.913,20.913,20.682,20.913,1.12,0,0,0,102.041,102.041,102.041,100.98,102.041,1.05,0,0,0
"vic-west","build",46.187,45.931,45.887,45.18,45.931,1.66,0.65,0.1,0,63.396,61.725,60.911,60.05,61.483,2.39,4.08,1.34,0
"wa-central","build",16.577,16.577,16.577,16.577,16.577,0,0,0,0,26.848,26.848,26.848,26.85,26.848,-0.01,0,0,0
"wa-north","build",28.365,28.365,28.365,28.275,28.365,0.32,0,0,0,38.553,38.553,38.553,38.44,38.553,0.29,0,0,0
"wa-south","build",32.423,32.496,32.56,32.292,32.496,0.63,-0.42,-0.2,0,41.849,41.922,41.986,41.61,41.922,0.75,-0.33,-0.15,0
"aus_max","build",0,0,0,0,0,9999999,9999999,9999999,9999999,0,0,0,0,0,9999999,9999999,9999999,9999999
"aus_min","build",0,0,0,0,0,-9999999,-9999999,-9999999,-9999999,0,0,0,0,0,-9999999,-9999999,-9999999,-9999999
