"NZAu_maj","aspect","ep_case1","ep_case2","ep_case3","ep_nzauO","ep_nzauR","ep_pNr","ep_pC1","ep_pC2","ep_pC3","epde_case1","epde_case2","epde_case3","epde_nzauO","epde_nzauR","epde_pNr","epde_pC1","epde_pC2","epde_pC3"
"ex-nsw","TX_bAUD2021",0.329,0.329,0.329,0.266,0.329,23.39,0,0,0,9999999,9999999,94.31,93.967,9999999,9999999,9999999,9999999,0
"ex-nt","TX_bAUD2021",9999999,196.651,196.518,195.057,196.518,0.75,9999999,0.07,0,9999999,86.769,86.769,87.527,86.769,-0.87,9999999,0,0
"ex-qld","TX_bAUD2021",103.961,103.961,103.961,95.85,103.961,8.46,0,0,0,63.202,63.202,63.202,58.2,63.202,8.59,0,0,0
"ex-sa","TX_bAUD2021",0.092,0.092,0.092,0.087,0.092,4.93,0,0,0,9999999,9999999,87.265,83.289,9999999,9999999,9999999,9999999,0
"ex-wa","TX_bAUD2021",152.087,121.12,121.261,121.187,121.12,-0.06,25.42,-0.12,0,68.176,68.176,68.258,69.193,68.176,-1.47,-0.12,-0.12,0
"nsw-central","TX_bAUD2021",26.456,26.561,26.57,23.935,26.448,10.5,-0.43,-0.03,0,28.012,28.118,28.127,25.932,28.005,7.99,-0.41,-0.03,0
"nsw-north","TX_bAUD2021",6.167,6.174,6.222,5.257,6.174,17.45,-0.89,-0.77,0,7.697,7.671,7.745,7.103,7.671,7.99,-0.62,-0.96,0
"nsw-outback","TX_bAUD2021",1.222,1.222,1.222,1.178,1.222,3.73,0,0,0,29.56,29.56,29.56,28.514,29.56,3.67,0,0,0
"nsw-south","TX_bAUD2021",5.882,5.874,5.874,5.376,5.874,9.26,0.13,0,0,7.069,7.015,7.015,7.14,7.015,-1.75,0.78,0,0
"nt","TX_bAUD2021",5.341,4.994,5.279,4.98,5.279,5.99,1.19,-5.4,0,7.311,6.886,7.172,6.747,7.17,6.28,1.95,-3.99,0
"qld-north","TX_bAUD2021",5.422,5.422,5.422,16.225,5.422,-66.58,0,0,0,4.609,4.609,4.609,14.549,4.609,-68.32,0,0,0
"qld-outback","TX_bAUD2021",5.265,5.265,5.265,4.937,5.265,6.65,0,0,0,30.026,30.026,30.026,28.153,30.026,6.65,0,0,0
"qld-south","TX_bAUD2021",14.923,14.664,14.664,13.598,14.664,7.84,1.77,0,0,16.318,15.663,15.663,14.519,15.663,7.88,4.18,0,0
"sa","TX_bAUD2021",6.093,6.093,6.093,6.772,6.093,-10.04,0,0,0,1.889,1.889,1.889,2.329,1.889,-18.91,0,0,0
"tas","TX_bAUD2021",1.569,1.569,1.569,1.777,1.569,-11.72,0,0,0,9999999,5.255,5.255,6.201,5.255,-15.25,9999999,0,0
"vic-east","TX_bAUD2021",11.02,11.02,11.02,14.8,11.02,-25.54,0,0,0,51.462,51.462,51.462,69.491,51.462,-25.94,0,0,0
"vic-west","TX_bAUD2021",19.41,18.989,18.958,18.745,18.989,1.3,2.38,0.16,0,26.28,23.184,23.254,22.686,23.215,2.33,13.01,-0.3,0
"wa-central","TX_bAUD2021",2.637,2.637,2.637,2.621,2.637,0.63,0,0,0,4.312,4.312,4.312,4.277,4.312,0.81,0,0,0
"wa-north","TX_bAUD2021",6.092,6.092,6.092,5.683,6.092,7.19,0,0,0,8.36,8.36,8.36,7.813,8.36,7.01,0,0,0
"wa-south","TX_bAUD2021",13.797,13.118,12.795,12.116,13.118,8.27,7.83,2.52,0,17.613,16.936,16.612,15.85,16.936,6.85,6.03,1.95,0
"aus_max","TX_bAUD2021",0,0,0,0,0,9999999,9999999,9999999,9999999,0,0,0,0,0,9999999,9999999,9999999,9999999
"aus_min","TX_bAUD2021",0,0,0,0,0,-9999999,-9999999,-9999999,-9999999,0,0,0,0,0,-9999999,-9999999,-9999999,-9999999
