OBJECTID,NZAU,VALUE_0,VALUE_1
1,ex-nt,200114625000.000000000000000,51212062500.000000000000000
2,ex-qld,327057437500.000000000000000,35087375000.000000000000000
3,ex-sa,83637375000.000000000000000,60329000000.000000000000000
4,ex-wa,337311562500.000000000000000,82154625000.000000000000000
5,ex-nsw,106149812500.000000000000000,19513625000.000000000000000
6,wa-south,300178562500.000000000000000,254978375000.000000000000000
7,wa-central,671745250000.000000000000000,373692750000.000000000000000
8,wa-north,589951312500.000000000000000,336099500000.000000000000000
9,nt,924136187500.000000000000000,424184125000.000000000000000
10,qld-north,462298000000.000000000000000,257005187500.000000000000000
11,qld-outback,582959375000.000000000000000,110405937500.000000000000000
12,qld-south,164168375000.000000000000000,153461625000.000000000000000
13,nsw-north,69805250000.000000000000000,94400375000.000000000000000
14,nsw-central,35659250000.000000000000000,67740875000.000000000000000
15,nsw-south,81734187500.000000000000000,114715937500.000000000000000
16,nsw-outback,253962875000.000000000000000,85128250000.000000000000000
17,vic-east,2368187500.000000000000000,39185750000.000000000000000
18,vic-west,53832375000.000000000000000,132108500000.000000000000000
19,tas,2264750000.000000000000000,65749875000.000000000000000
20,sa,465270375000.000000000000000,518753000000.000000000000000
21,aus_max,2264750000.000000000000000,65749875000.000000000000000
22,aus_min,2264750000.000000000000000,65749875000.000000000000000
