"NZAu_maj","name","type","bin_number","cf_wLL_2020_nzau","cf_wLL_2020_rerun","tx_cost_per_kw_2021_nzau","tx_cost_per_kw_2021_rerun","capex_per_kw_2021_nzau","capex_per_kw_2021_rerun","NZAu_GW","Case1_GW","Case2_GW","Case3_GW","2025","2030","2035","2040","2045","2050","2055","2060","type_b","EP2060","CASE1","CASE2","CASE3"
"wa-south","large-scale solar pv|1","solar",1,0.259,0.257,386,380,1560.685,1560.685,2.416,2.416,2.416,8.441,1.67,1.68,1.68,1.68,1.68,1.68,1.68,1.68,"PV [1]","2 (0.259, 386)","2 (0.257, 380)","2 (0.257, 380)","8 (0.257, 380)"
"wa-south","large-scale solar pv|2","solar",2,0.243,0.239,105,181,1560.685,1560.685,2.184,0.842,2.178,24.299,1.25,1.33,1.33,1.33,1.33,1.33,1.33,1.33,"PV [2]","1 (0.243, 105)","0.8 (0.239, 181)","2 (0.239, 181)","24 (0.239, 181)"
"wa-south","large-scale solar pv|3","solar",3,0.236,0.233,356,329,1560.685,1560.685,35.902,28.923,35.698,324.55,0,2.83,2.84,2.84,3.38,6.58,6.87,8.24,"PV [3]","8 (0.236, 356)","29 (0.233, 329)","36 (0.233, 329)","325 (0.233, 329)"
"wa-south","large-scale solar pv|4","solar",4,0.221,0.2,239,323,1560.685,1560.685,0.621,0.488,0.621,3.475,0,0.02,0.02,0.03,0.03,0.04,0.04,0.02,"PV [4]","0 (0.221, 239)","0.5 (0.2, 323)","0.6 (0.2, 323)","3 (0.2, 323)"
"wa-south","offshore wind|1","offshore",1,0.585,0.564,966,950,3614.35,3826.511,47.042,47.042,47.042,47.043,0,0.01,0.37,3.01,3.54,4.06,4.18,6.16,"OFF [1]","6 (0.585, 966)","47 (0.564, 950)","47 (0.564, 950)","47 (0.564, 950)"
"wa-south","offshore wind|2","offshore",2,0.574,0.595,1602,1213,3550.78,3405.462,7.087,7.087,7.087,7.087,0,0,0.01,0.01,0.01,0.01,0.01,0.01,"OFF [2]","0 (0.574, 1602)","7 (0.595, 1213)","7 (0.595, 1213)","7 (0.595, 1213)"
"wa-south","offshore wind|3","offshore",3,0.492,0.465,1002,967,3512.535,3160.387,101.77,101.637,101.77,103.175,0,0,0,0,0,0,0,0,"OFF [3]","0 (0.492, 1002)","102 (0.465, 967)","102 (0.465, 967)","103 (0.465, 967)"
"wa-south","offshore wind|4","offshore",4,0.478,0.495,1603,1519,3416.105,3458.164,83.238,83.238,83.238,83.238,0,0,0,0,0,0,0.01,0,"OFF [4]","0 (0.478, 1603)","83 (0.495, 1519)","83 (0.495, 1519)","83 (0.495, 1519)"
"wa-south","offshore wind|5","offshore",5,0.392,0.421,1273,1431,2783.667,2812.239,42.714,42.682,42.714,42.72,0,0,0,0,0,0,0.01,0,"OFF [5]","0 (0.392, 1273)","43 (0.421, 1431)","43 (0.421, 1431)","43 (0.421, 1431)"
"wa-south","onshore wind|1","onshore",1,0.315,0.316,397,441,2023.187,2023.187,58.296,14.304,57.569,112.767,0.08,0.11,6.53,7.51,7.51,7.51,7.44,11.67,"ON [1]","12 (0.315, 397)","14 (0.316, 441)","58 (0.316, 441)","113 (0.316, 441)"
"wa-south","onshore wind|2","onshore",2,0.317,0.317,639,663,2023.187,2023.187,258.598,129.091,258.54,327.934,0.11,1.6,1.61,1.61,1.61,1.61,1.51,0.01,"ON [2]","0 (0.317, 639)","129 (0.317, 663)","259 (0.317, 663)","328 (0.317, 663)"
"wa-south","onshore wind|3","onshore",3,0.302,0.304,188,229,2023.187,2023.187,3.229,0.579,3.229,8.996,0.02,4.92,4.92,4.92,4.92,4.92,4.9,0.02,"ON [3]","0 (0.302, 188)","0.6 (0.304, 229)","3 (0.304, 229)","9 (0.304, 229)"
"wa-south","onshore wind|4","onshore",4,0.283,0.294,341,456,2023.187,2023.187,1.049,0,1.049,1.468,0,0.01,0.02,0.02,0.02,0.02,0.01,0.01,"ON [4]","0 (0.283, 341)","0 (0.294, 456)","1 (0.294, 456)","1 (0.294, 456)"
"wa-south","onshore wind|5","onshore",5,0.289,0.289,0,644,2023.187,2023.187,0,0,0,2.029,0,0,0,0,0,0,0,0,"ON [5]","0 (0.289, 0)","0 (0.289, 644)","0 (0.289, 644)","2 (0.289, 644)"
"wa-north","large-scale solar pv|1","solar",1,0.281,0.282,338,343,1560.685,1560.685,253.1,227.307,252.694,253.1,0,0.01,0.01,0.02,0.02,0.02,0.02,0.02,"PV [1]","0 (0.281, 338)","227 (0.282, 343)","253 (0.282, 343)","253 (0.282, 343)"
"wa-north","large-scale solar pv|2","solar",2,0.286,0.285,198,212,1560.685,1560.685,220.034,169.077,219.943,220.034,0.19,2.78,5.38,7.97,19.56,31.15,32.17,34.47,"PV [2]","34 (0.286, 198)","169 (0.285, 212)","220 (0.285, 212)","220 (0.285, 212)"
"wa-north","offshore wind|3","offshore",3,0.366,0.366,0,915,0,3177.399,17.457,17.457,17.457,17.457,0,0,0,0,0,0,0,0,"OFF [3]","0 (0.366, 0)","17 (0.366, 915)","17 (0.366, 915)","17 (0.366, 915)"
"wa-north","offshore wind|5","offshore",5,0.361,0.372,1024,1358,3581.621,3283.366,1.92,1.92,1.92,1.92,0,0,0,0,0,0,0,0,"OFF [5]","0 (0.361, 1024)","2 (0.372, 1358)","2 (0.372, 1358)","2 (0.372, 1358)"
"wa-north","onshore wind|1","onshore",1,0.298,0.303,365,369,2023.187,2023.187,1.469,1.493,1.469,1.469,0.01,0.12,1.1,1.1,1.1,1.1,1.09,0.99,"ON [1]","1 (0.298, 365)","1 (0.303, 369)","1 (0.303, 369)","1 (0.303, 369)"
"wa-north","onshore wind|2","onshore",2,0.299,0.299,727,707,2023.187,2023.187,5.31,1.992,5.31,5.31,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,"ON [2]","0 (0.299, 727)","2 (0.299, 707)","5 (0.299, 707)","5 (0.299, 707)"
"wa-north","onshore wind|3","onshore",3,0.273,0.273,184,201,2023.187,2023.187,53.545,33.718,53.545,53.545,0,0.01,0.02,0.02,0.02,0.02,0.01,0.01,"ON [3]","0 (0.273, 184)","34 (0.273, 201)","54 (0.273, 201)","54 (0.273, 201)"
"wa-north","onshore wind|4","onshore",4,0.272,0.272,363,368,2023.187,2023.187,105.781,99.406,105.718,105.781,0,0,0.05,0.05,0.05,0.05,0.05,0.04,"ON [4]","0 (0.272, 363)","99 (0.272, 368)","106 (0.272, 368)","106 (0.272, 368)"
"wa-north","onshore wind|5","onshore",5,0.274,0.274,633,648,2023.187,2023.187,31.745,26.43,28.384,31.745,0,0,0.01,0.01,0.01,0.01,0.01,0.01,"ON [5]","0 (0.274, 633)","26 (0.274, 648)","28 (0.274, 648)","32 (0.274, 648)"
