OBJECTID,NZAU,SUBJECT_TO_OTHER_SPECIAL_RIG_2,INDIGENOUS_OWNED__INDIGENOUS_3,NON_INDIGNEOUS,INDIGENOUS_OWNED_AND_INDIGEN_5,INDIGENOUS_OWNED_AND_INDIGEN_6,INDIGENOUS_CO_MANAGED,INDIGENOUS_CO_MANAGED_AND_SU_8,INDIGENOUS_OWNED__INDIGENOUS_9,INDIGENOUS_MANAGED,INDIGENOUS_MANAGED_AND_SUBJE_11
1,ex-nt,66318625000.000000000000000,648187500.000000000000000,65604125000.000000000000000,105408062500.000000000000000,250000.000000000000000,0.000000000000000,3240187500.000000000000000,355375000.000000000000000,6825000000.000000000000000,2926875000.000000000000000
2,ex-qld,97470250000.000000000000000,62500.000000000000000,263353187500.000000000000000,1321312500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,ex-sa,80039687500.000000000000000,268375000.000000000000000,32914812500.000000000000000,84250000.000000000000000,0.000000000000000,1164750000.000000000000000,8003687500.000000000000000,0.000000000000000,64812500.000000000000000,301750000.000000000000000
4,ex-wa,161568437500.000000000000000,6536312500.000000000000000,164097062500.000000000000000,19250000.000000000000000,0.000000000000000,4685500000.000000000000000,3322937500.000000000000000,0.000000000000000,7185812500.000000000000000,5395687500.000000000000000
5,ex-nsw,179437500.000000000000000,375000.000000000000000,122353625000.000000000000000,471750000.000000000000000,13625000.000000000000000,2272625000.000000000000000,62500.000000000000000,0.000000000000000,371937500.000000000000000,0.000000000000000
6,wa-south,174164000000.000000000000000,20375000.000000000000000,367635687500.000000000000000,400687500.000000000000000,0.000000000000000,625000.000000000000000,10416875000.000000000000000,0.000000000000000,2293000000.000000000000000,27812500.000000000000000
7,wa-central,338581062500.000000000000000,177021062500.000000000000000,459656250000.000000000000000,3592937500.000000000000000,0.000000000000000,4855125000.000000000000000,2477062500.000000000000000,0.000000000000000,25442625000.000000000000000,33707875000.000000000000000
8,wa-north,457224687500.000000000000000,170495375000.000000000000000,169279937500.000000000000000,3832312500.000000000000000,46937500.000000000000000,3687500.000000000000000,15843437500.000000000000000,2374312500.000000000000000,42741437500.000000000000000,63719187500.000000000000000
9,nt,373832000000.000000000000000,9558750000.000000000000000,312459250000.000000000000000,606314687500.000000000000000,26395250000.000000000000000,16125000.000000000000000,1504562500.000000000000000,17742625000.000000000000000,12500000.000000000000000,1750000.000000000000000
10,qld-north,303728500000.000000000000000,40242937500.000000000000000,310793500000.000000000000000,17479062500.000000000000000,3282437500.000000000000000,3486500000.000000000000000,7833187500.000000000000000,25362187500.000000000000000,1697250000.000000000000000,4907375000.000000000000000
11,qld-outback,324397937500.000000000000000,382625000.000000000000000,367975062500.000000000000000,593125000.000000000000000,0.000000000000000,250000.000000000000000,16312500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,qld-south,131022625000.000000000000000,47812500.000000000000000,182320437500.000000000000000,886125000.000000000000000,812500.000000000000000,791000000.000000000000000,2248125000.000000000000000,133375000.000000000000000,0.000000000000000,0.000000000000000
13,nsw-north,961500000.000000000000000,5625000.000000000000000,156733750000.000000000000000,526750000.000000000000000,35250000.000000000000000,4607687500.000000000000000,1258812500.000000000000000,5000000.000000000000000,52437500.000000000000000,0.000000000000000
14,nsw-central,3820750000.000000000000000,9750000.000000000000000,85815500000.000000000000000,264500000.000000000000000,62000000.000000000000000,9613312500.000000000000000,3724000000.000000000000000,62500.000000000000000,63125000.000000000000000,437500.000000000000000
15,nsw-south,6984187500.000000000000000,2625000.000000000000000,180721125000.000000000000000,743250000.000000000000000,183125000.000000000000000,6053312500.000000000000000,1680687500.000000000000000,0.000000000000000,72250000.000000000000000,0.000000000000000
16,nsw-outback,670687500.000000000000000,4187500.000000000000000,330174687500.000000000000000,1861562500.000000000000000,764250000.000000000000000,4745437500.000000000000000,37312500.000000000000000,0.000000000000000,833000000.000000000000000,0.000000000000000
17,vic-east,11442375000.000000000000000,0.000000000000000,29436437500.000000000000000,16312500.000000000000000,27062500.000000000000000,0.000000000000000,0.000000000000000,493375000.000000000000000,7250000.000000000000000,12625000.000000000000000
18,vic-west,69917375000.000000000000000,5875000.000000000000000,112128187500.000000000000000,78000000.000000000000000,2000000.000000000000000,479625000.000000000000000,2795500000.000000000000000,482500000.000000000000000,0.000000000000000,0.000000000000000
19,tas,0.000000000000000,0.000000000000000,51619875000.000000000000000,676500000.000000000000000,8812500.000000000000000,15504687500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,sa,438926437500.000000000000000,13778625000.000000000000000,193192000000.000000000000000,186900625000.000000000000000,21317750000.000000000000000,4829750000.000000000000000,122724875000.000000000000000,150875000.000000000000000,64937500.000000000000000,1847000000.000000000000000
21,aus_max,0.000000000000000,0.000000000000000,51619875000.000000000000000,676500000.000000000000000,8812500.000000000000000,15504687500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
22,aus_min,0.000000000000000,0.000000000000000,51619875000.000000000000000,676500000.000000000000000,8812500.000000000000000,15504687500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
