OBJECTID,NZAU,VALUE_0,VALUE_1
1,ex-nt,251326687500.000000000000000,0.000000000000000
2,ex-qld,362095750000.000000000000000,49062500.000000000000000
3,ex-sa,143956625000.000000000000000,9750000.000000000000000
4,ex-wa,419466187500.000000000000000,0.000000000000000
5,ex-nsw,125222625000.000000000000000,440812500.000000000000000
6,wa-south,551927187500.000000000000000,3229750000.000000000000000
7,wa-central,1045438000000.000000000000000,0.000000000000000
8,wa-north,925982062500.000000000000000,68750000.000000000000000
9,nt,1347791500000.000000000000000,528812500.000000000000000
10,qld-north,709380875000.000000000000000,9922312500.000000000000000
11,qld-outback,693338437500.000000000000000,26875000.000000000000000
12,qld-south,302755750000.000000000000000,14874250000.000000000000000
13,nsw-north,156114562500.000000000000000,8091062500.000000000000000
14,nsw-central,97275937500.000000000000000,6124187500.000000000000000
15,nsw-south,183279875000.000000000000000,13170250000.000000000000000
16,nsw-outback,337337187500.000000000000000,1753937500.000000000000000
17,vic-east,40440687500.000000000000000,1113250000.000000000000000
18,vic-west,173025062500.000000000000000,12915812500.000000000000000
19,tas,63264375000.000000000000000,4750250000.000000000000000
20,sa,974539250000.000000000000000,9484125000.000000000000000
21,aus_max,63264375000.000000000000000,4750250000.000000000000000
22,aus_min,63264375000.000000000000000,4750250000.000000000000000
