OBJECTID,NZAU,VALUE_0,VALUE_1
1,ex-nt,251326562500.000000000000000,125000.000000000000000
2,ex-qld,362111437500.000000000000000,33375000.000000000000000
3,ex-sa,135787250000.000000000000000,8179125000.000000000000000
4,ex-wa,419462000000.000000000000000,4187500.000000000000000
5,ex-nsw,120908937500.000000000000000,4754500000.000000000000000
6,wa-south,440412625000.000000000000000,114744312500.000000000000000
7,wa-central,1045437562500.000000000000000,437500.000000000000000
8,wa-north,926046437500.000000000000000,4375000.000000000000000
9,nt,1348227625000.000000000000000,92687500.000000000000000
10,qld-north,714845375000.000000000000000,4457812500.000000000000000
11,qld-outback,693354750000.000000000000000,10562500.000000000000000
12,qld-south,309067750000.000000000000000,8562250000.000000000000000
13,nsw-north,148671562500.000000000000000,15534062500.000000000000000
14,nsw-central,93019875000.000000000000000,10380250000.000000000000000
15,nsw-south,164453187500.000000000000000,31996937500.000000000000000
16,nsw-outback,317053500000.000000000000000,22037625000.000000000000000
17,vic-east,41425500000.000000000000000,128437500.000000000000000
18,vic-west,144743812500.000000000000000,41197062500.000000000000000
19,tas,67880875000.000000000000000,133750000.000000000000000
20,sa,933750125000.000000000000000,50273250000.000000000000000
21,aus_max,67880875000.000000000000000,133750000.000000000000000
22,aus_min,67880875000.000000000000000,133750000.000000000000000
