sensitivity,bin_number,NZAu_maj,vintage,value,name,interpolation_method,extrapolation_method,type
[d],1,nsw-outback,2020,0.2592188873778036,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2021,0.26198671208232616,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2022,0.2647545365588375,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2023,0.267522361322297,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2024,0.27029018456027415,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2025,0.2730580093240131,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2026,0.2758258338490905,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2027,0.27859365835695526,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2028,0.2813614828456202,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2029,0.28412930760589256,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2030,0.28689713103116277,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2031,0.2879364507942868,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2032,0.28897576945595477,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2033,0.29001508819348004,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2034,0.2910544076172868,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2035,0.29209372633913666,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2036,0.29313304602659795,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2037,0.29417236478298564,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2038,0.2952116833850378,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2039,0.29625100293270185,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2040,0.2972903216059856,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2041,0.2983296403278355,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2042,0.2993689599711618,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2043,0.3004082787127466,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2044,0.3014475973892175,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2045,0.3024869169139594,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2046,0.3035262355872423,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2047,0.30456555555040593,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2048,0.3056048739598608,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2049,0.30664419269738596,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nsw-outback,2050,0.3076835124439587,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2020,0.2842149772458977,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2021,0.28724969877955137,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2022,0.2902844208726146,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2023,0.29331914239860546,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2024,0.2963538637053561,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2025,0.299388585231311,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2026,0.302423306528869,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2027,0.3054580281091421,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2028,0.3084927493136315,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2029,0.31152747093783967,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2030,0.3145621930094301,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2031,0.31570173180553057,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2032,0.3168412711932035,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2033,0.3179808098028738,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2034,0.31912034907505255,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2035,0.32025988768676084,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2036,0.3213994273586414,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2037,0.3225389658680564,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2038,0.32367850528453107,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2039,0.3248180437303648,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2040,0.3259575831375783,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2041,0.32709712174928657,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2042,0.3282366613501534,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2043,0.3293761999382451,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2044,0.33051573924724126,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2045,0.33165527781490883,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2046,0.33279481722212245,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2047,0.333934355971164,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2048,0.3350738954126793,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2049,0.33621343402234943,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,nt,2050,0.33735297325256347,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2020,0.27089003496633524,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2021,0.27378247917345033,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2022,0.2766749224442518,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2023,0.2795673666681221,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2024,0.2824598097255425,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2025,0.28535225394949254,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2026,0.288244697256416,large-scale solar pv|1,three_tier,three_tier,solar
[d],1,qld-north,2027,0.2911371414061805,large-scale solar pv|1,three_tier,three_tier,solar
