sensitivity,bin_number,NZAu_maj,vintage,value,name,interpolation_method,extrapolation_method,type
[d],5,ex-sa,2020,0.46543342857032033,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2021,0.4700176581670861,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2022,0.4735734515685475,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2023,0.47647875760238817,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2024,0.4789351407208102,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2025,0.4810629688277388,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2026,0.4829398610793327,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2027,0.4846187708320487,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2028,0.4861375375266801,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2029,0.4875240723882431,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2030,0.48879954754383625,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2031,0.48998045146502106,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2032,0.4910798551881985,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2033,0.49210828396609047,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2034,0.49307434514093246,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2035,0.493985176217684,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2036,0.4948467272230554,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2037,0.495664095302938,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2038,0.4964415594196365,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2039,0.4971828523128872,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2040,0.49789120459038555,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2041,0.4985693875265678,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2042,0.49921987810289514,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2043,0.499844858204488,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2044,0.5004462646990125,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2045,0.5010257666033461,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2046,0.501584962495959,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2047,0.5021251841363813,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2048,0.5026476997578265,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2049,0.5031536138312106,offshore wind|5,two_tier,two_tier,offshore
[d],5,ex-sa,2050,0.503643956225507,offshore wind|5,two_tier,two_tier,offshore
