bin_number,NZAu_maj,vintage,value,name,type
1,ex-wa,2020,4000.8467450809662,offshore wind|1,offshore
1,ex-wa,2021,3792.0301713238628,offshore wind|1,offshore
1,ex-wa,2022,3622.1168266131085,offshore wind|1,offshore
1,ex-wa,2023,3476.8106055892213,offshore wind|1,offshore
1,ex-wa,2024,3348.4855311312654,offshore wind|1,offshore
1,ex-wa,2025,3232.589573867935,offshore wind|1,offshore
1,ex-wa,2026,3126.1865812453884,offshore wind|1,offshore
1,ex-wa,2027,3027.271770450692,offshore wind|1,offshore
1,ex-wa,2028,2934.415209323484,offshore wind|1,offshore
1,ex-wa,2029,2846.5610909778798,offshore wind|1,offshore
1,ex-wa,2030,2762.907622776127,offshore wind|1,offshore
1,ex-wa,2031,2718.2360162136465,offshore wind|1,offshore
1,ex-wa,2032,2676.6477462762255,offshore wind|1,offshore
1,ex-wa,2033,2637.744517399242,offshore wind|1,offshore
1,ex-wa,2034,2601.200551291681,offshore wind|1,offshore
1,ex-wa,2035,2566.7459836921644,offshore wind|1,offshore
1,ex-wa,2036,2534.1547581219047,offshore wind|1,offshore
1,ex-wa,2037,2503.2356307590667,offshore wind|1,offshore
1,ex-wa,2038,2473.825367465054,offshore wind|1,offshore
1,ex-wa,2039,2445.783528556427,offshore wind|1,offshore
1,ex-wa,2040,2418.9884136980195,offshore wind|1,offshore
1,ex-wa,2041,2393.3338681750065,offshore wind|1,offshore
1,ex-wa,2042,2368.726744594535,offshore wind|1,offshore
1,ex-wa,2043,2345.084858301396,offshore wind|1,offshore
1,ex-wa,2044,2322.3353342589485,offshore wind|1,offshore
1,ex-wa,2045,2300.4132519478953,offshore wind|1,offshore
1,ex-wa,2046,2279.260526053934,offshore wind|1,offshore
1,ex-wa,2047,2258.8249820104743,offshore wind|1,offshore
1,ex-wa,2048,2239.0595771955764,offshore wind|1,offshore
1,ex-wa,2049,2219.92175292451,offshore wind|1,offshore
1,ex-wa,2050,2201.3728793321916,offshore wind|1,offshore
1,nsw-south,2020,4294.539620437502,offshore wind|1,offshore
1,nsw-south,2021,4073.2306821657453,offshore wind|1,offshore
1,nsw-south,2022,3893.2014402675077,offshore wind|1,offshore
1,nsw-south,2023,3739.2824882097134,offshore wind|1,offshore
1,nsw-south,2024,3603.3820037091295,offshore wind|1,offshore
1,nsw-south,2025,3480.66988937697,offshore wind|1,offshore
1,nsw-south,2026,3368.0306327013996,offshore wind|1,offshore
1,nsw-south,2027,3263.3369855902147,offshore wind|1,offshore
1,nsw-south,2028,3165.0716664001325,offshore wind|1,offshore
1,nsw-south,2029,3072.114372307668,offshore wind|1,offshore
1,nsw-south,2030,2983.6143317581964,offshore wind|1,offshore
1,nsw-south,2031,2936.213887470848,offshore wind|1,offshore
1,nsw-south,2032,2892.08513040943,offshore wind|1,offshore
1,nsw-south,2033,2850.8054343634412,offshore wind|1,offshore
1,nsw-south,2034,2812.0291205959043,offshore wind|1,offshore
1,nsw-south,2035,2775.4698395763885,offshore wind|1,offshore
1,nsw-south,2036,2740.887725824836,offshore wind|1,offshore
1,nsw-south,2037,2708.079853362427,offshore wind|1,offshore
1,nsw-south,2038,2676.8730163005566,offshore wind|1,offshore
1,nsw-south,2039,2647.118196060862,offshore wind|1,offshore
1,nsw-south,2040,2618.6862580815905,offshore wind|1,offshore
1,nsw-south,2041,2591.464562529385,offshore wind|1,offshore
1,nsw-south,2042,2565.354273025177,offshore wind|1,offshore
1,nsw-south,2043,2540.268183540902,offshore wind|1,offshore
1,nsw-south,2044,2516.128967742333,offshore wind|1,offshore
1,nsw-south,2045,2492.8677392535533,offshore wind|1,offshore
1,nsw-south,2046,2470.422864782147,offshore wind|1,offshore
1,nsw-south,2047,2448.738982192135,offshore wind|1,offshore
1,nsw-south,2048,2427.7661754985747,offshore wind|1,offshore
1,nsw-south,2049,2407.4592861461465,offshore wind|1,offshore
1,nsw-south,2050,2387.777324226806,offshore wind|1,offshore
1,sa,2020,4253.7773655573865,offshore wind|1,offshore
1,sa,2021,4034.569013732152,offshore wind|1,offshore
1,sa,2022,3856.248545789733,offshore wind|1,offshore
1,sa,2023,3703.79053814052,offshore wind|1,offshore
1,sa,2024,3569.179973107664,offshore wind|1,offshore
1,sa,2025,3447.632598889091,offshore wind|1,offshore
1,sa,2026,3336.0624743374965,offshore wind|1,offshore
1,sa,2027,3232.3625423303447,offshore wind|1,offshore
1,sa,2028,3135.0299229124416,offshore wind|1,offshore
1,sa,2029,3042.954946659871,offshore wind|1,offshore
1,sa,2030,2955.2949171967716,offshore wind|1,offshore
1,sa,2031,2908.3443812220803,offshore wind|1,offshore
1,sa,2032,2864.6344787174517,offshore wind|1,offshore
1,sa,2033,2823.7465950247683,offshore wind|1,offshore
1,sa,2034,2785.3383324121446,offshore wind|1,offshore
1,sa,2035,2749.1260590895004,offshore wind|1,offshore
1,sa,2036,2714.8721866117608,offshore wind|1,offshore
1,sa,2037,2682.375714913479,offshore wind|1,offshore
1,sa,2038,2651.4650820779057,offshore wind|1,offshore
1,sa,2039,2621.9926841119027,offshore wind|1,offshore
1,sa,2040,2593.8306120474463,offshore wind|1,offshore
1,sa,2041,2566.867295285528,offshore wind|1,offshore
1,sa,2042,2541.004835397256,offshore wind|1,offshore
1,sa,2043,2516.1568542486243,offshore wind|1,offshore
1,sa,2044,2492.24675935026,offshore wind|1,offshore
1,sa,2045,2469.206318273933,offshore wind|1,offshore
1,sa,2046,2446.9744826322135,offshore wind|1,offshore
1,sa,2047,2425.496415769304,offshore wind|1,offshore
1,sa,2048,2404.7226755186443,offshore wind|1,offshore
1,sa,2049,2384.608532076621,offshore wind|1,offshore
1,sa,2050,2365.113384372662,offshore wind|1,offshore
1,tas,2020,3588.705115897831,offshore wind|1,offshore
1,tas,2021,3397.6898132365964,offshore wind|1,offshore
1,tas,2022,3242.197088174566,offshore wind|1,offshore
1,tas,2023,3109.173152942394,offshore wind|1,offshore
1,tas,2024,2991.654719905421,offshore wind|1,offshore
1,tas,2025,2885.485326276977,offshore wind|1,offshore
1,tas,2026,2787.983968576611,offshore wind|1,offshore
1,tas,2027,2697.3200773102044,offshore wind|1,offshore
1,tas,2028,2612.1879797666497,offshore wind|1,offshore
1,tas,2029,2531.623617858447,offshore wind|1,offshore
1,tas,2030,2454.8948740195606,offshore wind|1,offshore
1,tas,2031,2414.105184512595,offshore wind|1,offshore
1,tas,2032,2376.130892823681,offshore wind|1,offshore
1,tas,2033,2340.6083151037365,offshore wind|1,offshore
1,tas,2034,2307.23998249445,offshore wind|1,offshore
1,tas,2035,2275.7794817838308,offshore wind|1,offshore
1,tas,2036,2246.020400723778,offshore wind|1,offshore
1,tas,2037,2217.7881139063143,offshore wind|1,offshore
1,tas,2038,2190.9335724634616,offshore wind|1,offshore
1,tas,2039,2165.3285407704843,offshore wind|1,offshore
1,tas,2040,2140.861894001321,offshore wind|1,offshore
1,tas,2041,2117.436702866464,offshore wind|1,offshore
1,tas,2042,2094.9679128970315,offshore wind|1,offshore
1,tas,2043,2073.3804825773427,offshore wind|1,offshore
1,tas,2044,2052.60786907084,offshore wind|1,offshore
1,tas,2045,2032.5907935460948,offshore wind|1,offshore
1,tas,2046,2013.276217853552,offshore wind|1,offshore
1,tas,2047,1994.616501857181,offshore wind|1,offshore
1,tas,2048,1976.5686905169873,offshore wind|1,offshore
1,tas,2049,1959.0939236615186,offshore wind|1,offshore
1,tas,2050,1942.156928533212,offshore wind|1,offshore
1,vic-east,2020,3293.85619127076,offshore wind|1,offshore
1,vic-east,2021,3114.961909403706,offshore wind|1,offshore
1,vic-east,2022,2969.2754480686644,offshore wind|1,offshore
1,vic-east,2023,2844.593643318709,offshore wind|1,offshore
1,vic-east,2024,2734.4069560917264,offshore wind|1,offshore
1,vic-east,2025,2634.829770946155,offshore wind|1,offshore
1,vic-east,2026,2543.3557869204456,offshore wind|1,offshore
1,vic-east,2027,2458.273719806432,offshore wind|1,offshore
1,vic-east,2028,2378.3629779320668,offshore wind|1,offshore
1,vic-east,2029,2302.7223245182113,offshore wind|1,offshore
1,vic-east,2030,2230.6673491459433,offshore wind|1,offshore
1,vic-east,2031,2192.5356370619043,offshore wind|1,offshore
1,vic-east,2032,2157.0358631973886,offshore wind|1,offshore
1,vic-east,2033,2123.828042454598,offshore wind|1,offshore
1,vic-east,2034,2092.6340896799325,offshore wind|1,offshore
1,vic-east,2035,2063.223648971479,offshore wind|1,offshore
1,vic-east,2036,2035.40375830491,offshore wind|1,offshore
1,vic-east,2037,2009.0111711306904,offshore wind|1,offshore
1,vic-east,2038,1983.906551530633,offshore wind|1,offshore
1,vic-east,2039,1959.970019813136,offshore wind|1,offshore
1,vic-east,2040,1937.0976924485576,offshore wind|1,offshore
1,vic-east,2041,1915.1989569047812,offshore wind|1,offshore
1,vic-east,2042,1894.1942998253282,offshore wind|1,offshore
1,vic-east,2043,1874.0135708100638,offshore wind|1,offshore
1,vic-east,2044,1854.5945626837524,offshore wind|1,offshore
1,vic-east,2045,1835.8818594639347,offshore wind|1,offshore
1,vic-east,2046,1817.8258788437183,offshore wind|1,offshore
1,vic-east,2047,1800.382085599419,offshore wind|1,offshore
1,vic-east,2048,1783.5103233113332,offshore wind|1,offshore
1,vic-east,2049,1767.1742641187184,offshore wind|1,offshore
1,vic-east,2050,1751.3409342633195,offshore wind|1,offshore
1,vic-west,2020,3615.121333686291,offshore wind|1,offshore
1,vic-west,2021,3422.9772194092025,offshore wind|1,offshore
1,vic-west,2022,3266.570310398796,offshore wind|1,offshore
1,vic-west,2023,3132.7679478660193,offshore wind|1,offshore
1,vic-west,2024,3014.5647719156223,offshore wind|1,offshore
1,vic-west,2025,2907.7792063853453,offshore wind|1,offshore
1,vic-west,2026,2809.7140491228442,offshore wind|1,offshore
1,vic-west,2027,2718.527670305013,offshore wind|1,offshore
1,vic-west,2028,2632.906508394384,offshore wind|1,offshore
1,vic-west,2029,2551.880680396101,offshore wind|1,offshore
1,vic-west,2030,2474.713645278895,offshore wind|1,offshore
1,vic-west,2031,2433.6775040970115,offshore wind|1,offshore
1,vic-west,2032,2395.473771385695,offshore wind|1,offshore
1,vic-west,2033,2359.7365659428697,offshore wind|1,offshore
1,vic-west,2034,2326.166621624267,offshore wind|1,offshore
1,vic-west,2035,2294.5160362290526,offshore wind|1,offshore
1,vic-west,2036,2264.5771505530975,offshore wind|1,offshore
1,vic-west,2037,2236.174284005983,offshore wind|1,offshore
1,vic-west,2038,2209.157487176032,offshore wind|1,offshore
1,vic-west,2039,2183.3977496440384,offshore wind|1,offshore
1,vic-west,2040,2158.78327517314,offshore wind|1,offshore
1,vic-west,2041,2135.2165488493406,offshore wind|1,offshore
1,vic-west,2042,2112.6120022416453,offshore wind|1,offshore
1,vic-west,2043,2090.894140499445,offshore wind|1,offshore
1,vic-west,2044,2069.996018656765,offshore wind|1,offshore
1,vic-west,2045,2049.8579997963197,offshore wind|1,offshore
1,vic-west,2046,2030.4267252606253,offshore wind|1,offshore
1,vic-west,2047,2011.654267085003,offshore wind|1,offshore
1,vic-west,2048,1993.4974106841842,offshore wind|1,offshore
1,vic-west,2049,1975.9170611634197,offshore wind|1,offshore
1,vic-west,2050,1958.8777325505096,offshore wind|1,offshore
1,wa-south,2020,3815.8350107634074,offshore wind|1,offshore
1,wa-south,2021,3614.3504495656944,offshore wind|1,offshore
1,wa-south,2022,3450.362904851954,offshore wind|1,offshore
1,wa-south,2023,3310.093024229861,offshore wind|1,offshore
1,wa-south,2024,3186.190482473073,offshore wind|1,offshore
1,wa-south,2025,3074.267789690489,offshore wind|1,offshore
1,wa-south,2026,2971.494924959662,offshore wind|1,offshore
1,wa-south,2027,2875.939571234366,offshore wind|1,offshore
1,wa-south,2028,2786.223482832839,offshore wind|1,offshore
1,wa-south,2029,2701.3290168719273,offshore wind|1,offshore
1,wa-south,2030,2620.4833628069796,offshore wind|1,offshore
1,wa-south,2031,2577.426474910474,offshore wind|1,offshore
1,wa-south,2032,2537.341472158187,offshore wind|1,offshore
1,wa-south,2033,2499.8444558682354,offshore wind|1,offshore
1,wa-south,2034,2464.6214233438386,offshore wind|1,offshore
1,wa-south,2035,2431.41226527644,offshore wind|1,offshore
1,wa-south,2036,2399.999095955324,offshore wind|1,offshore
1,wa-south,2037,2370.197584304172,offshore wind|1,offshore
1,wa-south,2038,2341.850396863349,offshore wind|1,offshore
1,wa-south,2039,2314.8221700416766,offshore wind|1,offshore
1,wa-south,2040,2288.995602661728,offshore wind|1,offshore
1,wa-south,2041,2264.2683774224247,offshore wind|1,offshore
1,wa-south,2042,2240.550713138794,offshore wind|1,offshore
1,wa-south,2043,2217.76339650919,offshore wind|1,offshore
1,wa-south,2044,2195.83618643398,offshore wind|1,offshore
1,wa-south,2045,2174.706509009333,offshore wind|1,offshore
1,wa-south,2046,2154.318378378572,offshore wind|1,offshore
1,wa-south,2047,2134.6215062570463,offshore wind|1,offshore
1,wa-south,2048,2115.570550115367,offshore wind|1,offshore
1,wa-south,2049,2097.1244895704463,offshore wind|1,offshore
1,wa-south,2050,2079.246091595866,offshore wind|1,offshore
2,ex-wa,2020,3512.6351919100484,offshore wind|2,offshore
2,ex-wa,2021,3325.642146056617,offshore wind|2,offshore
2,ex-wa,2022,3173.4232166819484,offshore wind|2,offshore
2,ex-wa,2023,3043.199659716552,offshore wind|2,offshore
2,ex-wa,2024,2928.1549038692096,offshore wind|2,offshore
2,ex-wa,2025,2824.2200630724906,offshore wind|2,offshore
2,ex-wa,2026,2728.770622642802,offshore wind|2,offshore
2,ex-wa,2027,2640.0145830231454,offshore wind|2,offshore
2,ex-wa,2028,2556.6737823224526,offshore wind|2,offshore
2,ex-wa,2029,2477.804475018445,offshore wind|2,offshore
2,ex-wa,2030,2402.689969157508,offshore wind|2,offshore
2,ex-wa,2031,2362.7597188249442,offshore wind|2,offshore
2,ex-wa,2032,2325.5855457478438,offshore wind|2,offshore
2,ex-wa,2033,2290.81142906753,offshore wind|2,offshore
2,ex-wa,2034,2258.1461674794327,offshore wind|2,offshore
2,ex-wa,2035,2227.3485397176846,offshore wind|2,offshore
2,ex-wa,2036,2198.2164827656334,offshore wind|2,offshore
2,ex-wa,2037,2170.57905052855,offshore wind|2,offshore
2,ex-wa,2038,2144.290334400412,offshore wind|2,offshore
2,ex-wa,2039,2119.224801011768,offshore wind|2,offshore
2,ex-wa,2040,2095.27366670561,offshore wind|2,offshore
2,ex-wa,2041,2072.342044498391,offshore wind|2,offshore
2,ex-wa,2042,2050.3466721341765,offshore wind|2,offshore
2,ex-wa,2043,2029.2140891085137,offshore wind|2,offshore
2,ex-wa,2044,2008.879154743378,offshore wind|2,offshore
2,ex-wa,2045,1989.2838391811176,offshore wind|2,offshore
2,ex-wa,2046,1970.3762218016627,offshore wind|2,offshore
2,ex-wa,2047,1952.109666104017,offshore wind|2,offshore
2,ex-wa,2048,1934.4421222969631,offshore wind|2,offshore
2,ex-wa,2049,1917.3355490185359,offshore wind|2,offshore
2,ex-wa,2050,1900.7554164426285,offshore wind|2,offshore
2,nsw-south,2020,4062.993365158967,offshore wind|2,offshore
2,nsw-south,2021,3852.4753961159754,offshore wind|2,offshore
2,nsw-south,2022,3681.204327441038,offshore wind|2,offshore
2,nsw-south,2023,3534.7577623788825,offshore wind|2,offshore
2,nsw-south,2024,3405.442355557385,offshore wind|2,offshore
2,nsw-south,2025,3288.6658649905817,offshore wind|2,offshore
2,nsw-south,2026,3181.466199999636,offshore wind|2,offshore
2,nsw-south,2027,3081.8208672615015,offshore wind|2,offshore
2,nsw-south,2028,2988.2873031958275,offshore wind|2,offshore
2,nsw-south,2029,2899.8003734529016,offshore wind|2,offshore
