bin_number,NZAu_maj,tx_cost_per_kw,name,type
1,nsw-outback,323.86437443927133,large-scale solar pv|1,solar
1,nt,320.6486650230474,large-scale solar pv|1,solar
1,qld-north,334.01654062687817,large-scale solar pv|1,solar
1,qld-outback,332.2725717773466,large-scale solar pv|1,solar
1,qld-south,376.1170263109427,large-scale solar pv|1,solar
1,wa-central,314.47066126476597,large-scale solar pv|1,solar
1,wa-north,337.926585705605,large-scale solar pv|1,solar
1,wa-south,386.13662103261987,large-scale solar pv|1,solar
2,nsw-central,145.91892119727387,large-scale solar pv|2,solar
2,nsw-north,158.43607140098848,large-scale solar pv|2,solar
2,nsw-outback,191.45438895234494,large-scale solar pv|2,solar
2,nt,210.35572478212404,large-scale solar pv|2,solar
2,qld-north,210.5478501863138,large-scale solar pv|2,solar
2,qld-outback,199.25262322851114,large-scale solar pv|2,solar
2,qld-south,208.38275747063994,large-scale solar pv|2,solar
2,sa,157.97666827034587,large-scale solar pv|2,solar
2,vic-west,149.65991484817835,large-scale solar pv|2,solar
2,wa-central,157.5075284606401,large-scale solar pv|2,solar
2,wa-north,198.25013565299568,large-scale solar pv|2,solar
2,wa-south,104.87157534355177,large-scale solar pv|2,solar
3,nsw-central,321.44479870836955,large-scale solar pv|3,solar
3,nsw-north,319.2765279178723,large-scale solar pv|3,solar
3,nsw-outback,312.09333301299415,large-scale solar pv|3,solar
3,nsw-south,328.2940199367018,large-scale solar pv|3,solar
3,qld-north,293.8649209825148,large-scale solar pv|3,solar
3,qld-south,323.7926939024331,large-scale solar pv|3,solar
3,sa,312.64822656942533,large-scale solar pv|3,solar
3,vic-west,373.7782599034789,large-scale solar pv|3,solar
3,wa-south,355.7279261361784,large-scale solar pv|3,solar
4,nsw-central,239.6698537459065,large-scale solar pv|4,solar
4,nsw-north,203.8703663806677,large-scale solar pv|4,solar
4,nsw-south,204.81411902384372,large-scale solar pv|4,solar
4,qld-south,124.33753707491388,large-scale solar pv|4,solar
4,sa,281.8301458490679,large-scale solar pv|4,solar
4,tas,232.83309448185722,large-scale solar pv|4,solar
4,vic-east,237.44823340678903,large-scale solar pv|4,solar
4,vic-west,247.36117715121628,large-scale solar pv|4,solar
4,wa-south,239.2676437283404,large-scale solar pv|4,solar
5,ex-nsw,94.73352063813172,large-scale solar pv|5,solar
5,ex-nt,141.63244245022764,large-scale solar pv|5,solar
5,ex-qld,125.13868807419912,large-scale solar pv|5,solar
5,ex-sa,93.93444139573799,large-scale solar pv|5,solar
5,ex-wa,129.04004219988872,large-scale solar pv|5,solar
6,ex-nsw,138.7263893490349,large-scale solar pv|6,solar
6,ex-nt,276.4457882827888,large-scale solar pv|6,solar
6,ex-qld,241.0610536915415,large-scale solar pv|6,solar
6,ex-sa,167.84777082730608,large-scale solar pv|6,solar
6,ex-wa,237.14409342148457,large-scale solar pv|6,solar
7,ex-nsw,311.7822640834659,large-scale solar pv|7,solar
7,ex-nt,378.0379652154042,large-scale solar pv|7,solar
7,ex-qld,335.6077538486549,large-scale solar pv|7,solar
7,ex-sa,302.04470075908876,large-scale solar pv|7,solar
7,ex-wa,333.06817435650146,large-scale solar pv|7,solar
1,ex-wa,684.6694243386169,offshore wind|1,offshore
1,nsw-south,1023.6233374483196,offshore wind|1,offshore
1,sa,1018.7364474052487,offshore wind|1,offshore
1,tas,1012.2183957587658,offshore wind|1,offshore
1,vic-east,1116.0256151159722,offshore wind|1,offshore
1,vic-west,1003.6518053268937,offshore wind|1,offshore
1,wa-south,966.2671087240311,offshore wind|1,offshore
2,ex-wa,1464.701252177308,offshore wind|2,offshore
2,nsw-south,1537.7443185885584,offshore wind|2,offshore
2,qld-north,1793.999875120545,offshore wind|2,offshore
2,sa,1446.6397539186123,offshore wind|2,offshore
2,tas,1504.9707946526278,offshore wind|2,offshore
2,vic-east,1432.4876612045043,offshore wind|2,offshore
2,vic-west,1483.1010684056769,offshore wind|2,offshore
2,wa-south,1601.8232681882284,offshore wind|2,offshore
