bin_number,NZAu_maj,tx_cost_per_kw,name,type
5,ex-sa,1570.3872490688352,offshore wind|5,offshore
5,nsw-south,1408.9507554757515,offshore wind|5,offshore
5,nt,1476.0913062944448,offshore wind|5,offshore
5,qld-north,1755.0758170476836,offshore wind|5,offshore
5,qld-south,1372.6516796294266,offshore wind|5,offshore
5,sa,1395.8372464043935,offshore wind|5,offshore
5,tas,1311.2262950263466,offshore wind|5,offshore
5,vic-west,1286.5691287369577,offshore wind|5,offshore
5,wa-north,1357.829483229366,offshore wind|5,offshore
5,wa-south,1431.4243844353693,offshore wind|5,offshore
2,ex-wa,679.6269262748332,offshore wind|2,offshore
2,nsw-south,1023.5943697859881,offshore wind|2,offshore
2,sa,972.9559196787111,offshore wind|2,offshore
2,tas,873.9920232303041,offshore wind|2,offshore
2,vic-east,816.1548714164607,offshore wind|2,offshore
2,vic-west,943.2606127553023,offshore wind|2,offshore
2,wa-central,688.458660105886,offshore wind|2,offshore
2,wa-south,950.185323787589,offshore wind|2,offshore
1,ex-wa,1166.356255660255,offshore wind|1,offshore
1,nsw-south,1312.8555191799912,offshore wind|1,offshore
1,tas,1129.79407913748,offshore wind|1,offshore
1,vic-east,1037.9900625046116,offshore wind|1,offshore
1,vic-west,1067.754028943677,offshore wind|1,offshore
1,wa-central,964.6907834472368,offshore wind|1,offshore
1,wa-south,1213.1577693871513,offshore wind|1,offshore
4,ex-sa,804.1481458891393,offshore wind|4,offshore
4,ex-wa,1006.1303190724173,offshore wind|4,offshore
4,nsw-central,823.278776485197,offshore wind|4,offshore
4,nsw-north,801.095172307555,offshore wind|4,offshore
4,nsw-south,924.9367630253613,offshore wind|4,offshore
4,nt,1083.6834534794164,offshore wind|4,offshore
4,qld-south,979.4303462862556,offshore wind|4,offshore
4,sa,957.6095159066476,offshore wind|4,offshore
4,tas,855.6965032543891,offshore wind|4,offshore
4,vic-east,791.2830672115243,offshore wind|4,offshore
4,vic-west,951.7469607953058,offshore wind|4,offshore
4,wa-north,914.9076002252935,offshore wind|4,offshore
4,wa-south,967.1143830889008,offshore wind|4,offshore
3,ex-sa,1667.9449702479621,offshore wind|3,offshore
3,ex-wa,1391.9578172844379,offshore wind|3,offshore
3,nsw-south,1468.8084822392052,offshore wind|3,offshore
3,nt,1711.719286787162,offshore wind|3,offshore
3,qld-north,1815.9329237754102,offshore wind|3,offshore
3,qld-south,1601.8016490221132,offshore wind|3,offshore
3,sa,1527.148061007276,offshore wind|3,offshore
3,tas,1536.3002950557927,offshore wind|3,offshore
3,vic-east,1317.3694372985108,offshore wind|3,offshore
3,vic-west,1348.5920669537886,offshore wind|3,offshore
3,wa-south,1519.1452249927106,offshore wind|3,offshore
2,ex-nsw,617.1677830404989,onshore wind|2,onshore
2,ex-nt,622.3618032871476,onshore wind|2,onshore
2,ex-qld,617.7314141138443,onshore wind|2,onshore
2,ex-sa,625.5985311535705,onshore wind|2,onshore
2,ex-wa,616.2953293227195,onshore wind|2,onshore
2,nsw-central,611.9758186914058,onshore wind|2,onshore
