"OIDcom","m_cf_noloss","incap","NZAu_maj","export","bin","TXlength_km","TXcost_maud2021","m_elev","NZAu_site","txAll_aud_kw","TXcost_maud2021_spur","TXcost_maud2021_s2l","spurLength_km","TXspurType","TXspurTypeMax_MW","TXbulkSinkType","SA2oid","lcoe2050_maud2021_mwh"
12985,0.296698792976468,1072.575,"ex-qld",1,4,3.7674484863,29.0688042106415,360.390969162997,"qld-outback",27.1018849130751,29.0688042106415,0,119.416734375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,48.7937931614878
11554,0.283367772406684,1076.79375,"ex-wa",1,4,6.54865625,32.8332885819419,378.871806926814,"wa-north",30.4917154115557,32.8332885819419,0,115.4763828125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,52.4042974734383
9332,0.296339815054089,1080,"ex-wa",1,4,9.2662119141,36.3628720324269,555.590781250001,"wa-central",33.6693259559509,36.3628720324269,0,180.900296875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,50.1586071944297
14518,0.280045920135353,1026.84375,"ex-nt",1,4,10.2687666016,35.6704116801217,368.271815940837,"wa-north",34.7379157540977,35.6704116801217,0,381.75259375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.0944548968296
8218,0.294488788818575,654.75,"ex-wa",1,4,5.3788740234,22.8989750414072,182.486597938144,"wa-central",34.9736159471664,22.8989750414072,0,241.202015625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,50.4781212412536
10738,0.280558098003798,1054.0125,"ex-qld",1,4,11.6543974609,37.884692758586,221.157220621198,"qld-outback",35.9433049974132,37.884692758586,0,84.72453125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,50.6846581272027
10737,0.28250884871183,1070.55,"ex-qld",1,4,13.6011679688,40.8072491339619,217.439155107188,"qld-outback",38.1180226369267,40.8072491339619,0,104.3642265625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",205,51.420735441309
14517,0.280107685244108,1056.20625,"ex-nt",1,4,12.6106230469,40.3225633060211,360.446077648187,"wa-north",38.1767891508131,40.3225633060211,0,362.12084375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.1360557638569
11555,0.298424514432467,1074.2625,"ex-wa",1,4,13.520296875,41.3697781035244,378.090166509583,"wa-north",38.5099341208731,41.3697781035244,0,134.515171875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,49.8816140585297
14177,0.305234598271285,1079.6625,"ex-nt",1,4,13.6775117188,41.6024211316842,292.551734917162,"nt",38.5328018076799,41.6024211316842,0,67.4933671875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",204,48.7694612027406
9333,0.302907715681939,1080,"ex-wa",1,4,13.2549833984,41.8732772085965,556.231874999999,"wa-central",38.7715529709226,41.8732772085965,0,295.766375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,49.1457343905066
8217,0.298556316562791,689.34375,"ex-wa",1,4,8.9903027344,27.2430502214746,157.157649938801,"wa-central",39.5202686924696,27.2430502214746,0,255.458296875,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",201,49.858111171723
12990,0.317977138344964,1068.35625,"ex-qld",1,4,15.3606103516,43.248716057321,449.465961143579,"qld-outback",40.4815491623894,43.248716057321,0,104.1232734375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,45.717684532163
8154,0.30008767732341,1068.35625,"ex-qld",1,4,15.3595166016,43.8376509393284,276.435002369294,"qld-outback",41.0328024376966,43.8376509393284,0,352.01578125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",207,49.6420483760376
12894,0.294031336371221,1076.9625,"ex-qld",1,4,16.0211337891,44.4295260077934,337.863209025384,"qld-outback",41.2544782272302,44.4295260077934,0,99.7220078125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,49.452708051395
8007,0.297987642611611,1068.01875,"ex-qld",1,4,15.7037734375,44.3755603686377,271.327381892875,"qld-outback",41.5494207088009,44.3755603686377,0,404.56021875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",207,49.9994031364049
3879,0.295083268815893,699.975,"ex-sa",1,4,11.0876142578,29.3032214005619,105.250241080039,"sa",41.863239973659,29.3032214005619,0,43.7860039062,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,48.6371127086046
14253,0.303573822079081,1076.45625,"ex-nt",1,4,17.9575605469,46.6765825833473,267.999686471235,"nt",43.3613373356765,46.6765825833473,0,84.6548359375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",204,49.1083914395772
9212,0.29415935500597,980.26875,"ex-wa",1,4,19.3963632812,44.6399157610502,513.738337063176,"wa-central",45.5384462281902,44.6399157610502,0,305.3845,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",200,50.7121128281884
8066,0.297330389912239,1080,"ex-wa",1,4,19.5967011719,49.3893911138783,153.43796875,"wa-central",45.7309176980355,49.3893911138783,0,272.65765625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",201,50.1742966362049
13007,0.289394463496679,1076.79375,"ex-qld",1,4,20.8009355469,50.9297521207468,329.371258423446,"qld-outback",47.2975926176641,50.9297521207468,0,145.2903125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,50.337578112843
9211,0.286734028307024,873.95625,"ex-wa",1,4,15.3026845703,41.673243974303,489.292913689901,"wa-central",47.6834440789261,41.673243974303,0,319.640625,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",200,52.039895409318
11691,0.280860534912564,1074.76875,"ex-wa",1,4,21.5160527344,51.4119990548446,364.364578426754,"wa-north",47.8354055743103,51.4119990548446,0,124.1955078125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,53.1507282496571
12896,0.302214225953596,1060.59375,"ex-qld",1,4,21.8927539062,50.9666021974347,371.840254574383,"qld-outback",48.0547827077377,50.9666021974347,0,84.6748828125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,48.2148670438493
14376,0.290454105809331,1080,"ex-nt",1,4,22.517171875,52.9456251079523,400.571406250001,"wa-north",49.0237269518077,52.9456251079523,0,379.557375,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,51.4135828175428
11410,0.289730028624546,1073.925,"ex-wa",1,4,22.7122539062,52.9424450053955,404.857008170963,"wa-north",49.2980841356663,52.9424450053955,0,105.028890625,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",202,51.5462161616925
4030,0.297063187650236,658.8,"ex-sa",1,4,17.2400351562,32.5891656116224,105.72925204918,"sa",49.467464498516,32.5891656116224,0,47.689734375,"275kV_HVAC_double__950MW",950,"330kV_HVAC_double__1200MW",209,48.4264965187612
14649,0.281416201343139,1077.3,"ex-nt",1,4,22.5047050781,53.7589164288129,401.334586466165,"wa-north",49.9015282918527,53.7589164288129,0,372.60578125,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",203,53.0763168361481
13112,0.306513941625645,1072.40625,"ex-qld",1,4,23.7618808594,53.5493160633656,429.616365066876,"qld-outback",49.9337970693155,53.5493160633656,0,135.411046875,"330kV_HVAC_double__1200MW",1200,"330kV_HVAC_double__1200MW",206,47.5668223239205
